Id	prop1	chance1	par1	*skillname1	min1	max1	prop2	chance2	par2	*skillname2	min2	max2	prop3	chance3	par3	*skillname3	min3	max3	prop4	chance4	par4	*skillname4	min4	max4	prop5	chance5	par5	*skillname5	min5	max5	prop6	chance6	par6	*skillname6	min6	max6	prop1 (N)	chance1 (N)	par1 (N)	*skillname1 (N)	min1 (N)	max1 (N)	prop2 (N)	chance2 (N)	par2 (N)	*skillname2 (N)	min2 (N)	max2 (N)	prop3 (N)	chance3 (N)	par3 (N)	*skillname3 (N)	min3 (N)	max3 (N)	prop4 (N)	chance4 (N)	par4 (N)	*skillname4 (N)	min4 (N)	max4 (N)	prop5 (N)	chance5 (N)	par5 (N)	*skillname5 (N)	min5 (N)	max5 (N)	prop6 (N)	chance6 (N)	par6 (N)	*skillname6 (N)	min6 (N)	max6 (N)	prop1 (H)	chance1 (H)	par1 (H)	*skillname1 (H)	min1 (H)	max1 (H)	prop2 (H)	chance2 (H)	par2 (H)	*skillname2 (H)	min2 (H)	max2 (H)	prop3 (H)	chance3 (H)	par3 (H)	*skillname3 (H)	min3 (H)	max3 (H)	prop4 (H)	chance4 (H)	par4 (H)	*skillname4 (H)	min4 (H)	max4 (H)	prop5 (H)	chance5 (H)	par5 (H)	*skillname5 (H)	min5 (H)	max5 (H)	prop6 (H)	chance6 (H)	par6 (H)	*skillname6 (H)	min6 (H)	max6 (H)	*eol
bloodboundmarauder	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	att-skill		274	Zeal Mon Aoe	100	1	death-skill		936	Enrage Mon Uber	100	1	takedmg-skill		935	Low Life Enrage Mon Uber	100	1	deadly				25	25	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	att-skill		274	Zeal Mon Aoe	100	1	death-skill		936	Enrage Mon Uber	100	1	takedmg-skill		935	Low Life Enrage Mon Uber	100	1	deadly				25	25	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	att-skill		274	Zeal Mon Aoe	100	1	death-skill		936	Enrage Mon Uber	100	1	takedmg-skill		935	Low Life Enrage Mon Uber	100	1	deadly				25	25	0
carrionoverlord	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce				100	100	death-skill		940	Spawn Rats Mon Uber	100	1	death-skill		938	Shockwave Nova Mon Uber	100	1	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce				100	100	death-skill		940	Spawn Rats Mon Uber	100	1	death-skill		938	Shockwave Nova Mon Uber	100	1	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce				100	100	death-skill		940	Spawn Rats Mon Uber	100	1	death-skill		938	Shockwave Nova Mon Uber	100	1	0
carrionrat	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	crush				25	25	deadly				25	25							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	crush				25	25	deadly				25	25							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	crush				25	25	deadly				25	25							0
wingedhorror	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	aura		941	Varying Lightning Damage Mon Uber	1	1	pierce-ltng				50	50	gethit-skill		943	Time Lapse Mon Uber	1	20	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	aura		941	Varying Lightning Damage Mon Uber	1	1	pierce-ltng				50	50	gethit-skill		943	Time Lapse Mon Uber	1	20	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	aura		941	Varying Lightning Damage Mon Uber	1	1	pierce-ltng				50	50	gethit-skill		943	Time Lapse Mon Uber	1	20	0
scorchedhuntress	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	deadly				25	25	pierce-fire				50	50							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	deadly				25	25	pierce-fire				50	50							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	deadly				25	25	pierce-fire				50	50							0
marrowstitchedabomination	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	death-skill		946	Dismemberment Mon Uber	100	1	aura	1	545	Vigor	30	30	aura	1	540	Might	30	30	aura	1	529	Blessed Aim	30	30	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	death-skill		946	Dismemberment Mon Uber	100	1	aura	1	545	Vigor	30	30	aura	1	540	Might	30	30	aura	1	529	Blessed Aim	30	30	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	death-skill		946	Dismemberment Mon Uber	100	1	aura	1	545	Vigor	30	30	aura	1	540	Might	30	30	aura	1	529	Blessed Aim	30	30	0
bloodpactsatyr	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		943	Time Lapse Mon Uber	100	5	death-skill		307	Speed Buff Aoe Mon	25	25	death-skill		310	Damage Buff Aoe Mon	25	25	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		943	Time Lapse Mon Uber	100	5	death-skill		307	Speed Buff Aoe Mon	25	25	death-skill		310	Damage Buff Aoe Mon	25	25	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		943	Time Lapse Mon Uber	100	5	death-skill		307	Speed Buff Aoe Mon	25	25	death-skill		310	Damage Buff Aoe Mon	25	25	0
andarielforsakenscion	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		948	Increasing Power Mon Uber	100	1	deadly				25	25	crush				25	25	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		948	Increasing Power Mon Uber	100	1	deadly				25	25	crush				25	25	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		948	Increasing Power Mon Uber	100	1	deadly				25	25	crush				25	25	0
plagueleaper	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-pois				50	50	death-skill		515	Poison Mastery	100	5							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-pois				50	50	death-skill		515	Poison Mastery	100	5							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-pois				50	50	death-skill		515	Poison Mastery	100	5							0
bonecrusher	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	att-skill		953	Increasing Power Two Mon Uber	100	1													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	att-skill		953	Increasing Power Two Mon Uber	100	1													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	att-skill		953	Increasing Power Two Mon Uber	100	1													0
hellfang	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		955	Fists of Fire Mon Uber	100	1	haste				50	50	abs-elem%				20	20	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		955	Fists of Fire Mon Uber	100	1	haste				50	50	abs-elem%				20	20	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		955	Fists of Fire Mon Uber	100	1	haste				50	50	abs-elem%				20	20	0
demonicrevenant	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	aura		957	Elemental Fury Mon Uber	1	1													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	aura		957	Elemental Fury Mon Uber	1	1													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	aura		960	Varying Elemental Damage Mon Uber	1	1													0
maidenofsuffering	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		963	Increasing Debuff Mon Uber	100	1													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		963	Increasing Debuff Mon Uber	100	1													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		963	Increasing Debuff Mon Uber	100	1													0
shogunofcarnage	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	att-skill		967	Flurry of Axes Mon Uber	20	1	takedmg-skill		147	Charge Buff Mon Uber	1	1	kill-skill		943	Time Lapse Mon Uber	100	50	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	att-skill		967	Flurry of Axes Mon Uber	20	1	takedmg-skill		147	Charge Buff Mon Uber	1	1	kill-skill		943	Time Lapse Mon Uber	100	50	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	att-skill		967	Flurry of Axes Mon Uber	20	1	takedmg-skill		147	Charge Buff Mon Uber	1	1	kill-skill		943	Time Lapse Mon Uber	100	50	0
dreameater	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	death-skill		971	Bone Storm Mon Uber	100	1													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	death-skill		971	Bone Storm Mon Uber	100	1													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	death-skill		971	Bone Storm Mon Uber	100	1													0
verminhusk	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	takedmg-skill		972	Vermin Spread Mon Uber	1	1	gethit-skill		972	Vermin Spread Mon Uber	5	1	death-skill		972	Vermin Spread Mon Uber	100	1	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	takedmg-skill		972	Vermin Spread Mon Uber	1	1	gethit-skill		972	Vermin Spread Mon Uber	5	1	death-skill		972	Vermin Spread Mon Uber	100	1	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	takedmg-skill		972	Vermin Spread Mon Uber	1	1	gethit-skill		972	Vermin Spread Mon Uber	5	1	death-skill		972	Vermin Spread Mon Uber	100	1	0
nosferatuforsakenspawn	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-ltng				50	50	pierce-cold				50	50							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-ltng				50	50	pierce-cold				50	50							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-ltng				50	50	pierce-cold				50	50							0
shroudedhorror	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	state		146	Ice Wave Mon Uber	1	1	att-skill		977	Remove Invisibility Mon Uber	100	1	att-skill		978	Visible Enrage Mon Uber	100	1	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	state		146	Ice Wave Mon Uber	1	1	att-skill		977	Remove Invisibility Mon Uber	100	1	att-skill		978	Visible Enrage Mon Uber	100	1	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	state		146	Ice Wave Mon Uber	1	1	att-skill		977	Remove Invisibility Mon Uber	100	1	att-skill		978	Visible Enrage Mon Uber	100	1	0
infernalincarnation	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	aura	1	886	Fire Pierce Aura	35	35	aura	1	875	Fire Damage Aura	20	20	pierce				100	100							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	aura	1	886	Fire Pierce Aura	35	35	aura	1	875	Fire Damage Aura	20	20	pierce				100	100							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	aura	1	886	Fire Pierce Aura	35	35	aura	1	875	Fire Damage Aura	20	20	pierce				100	100							0
cremator	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	aura		982	Holy Fire Mon Uber	1	1	hit-skill		984	Increasing Debuff Two Mon Uber	100	1							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	aura		982	Holy Fire Mon Uber	1	1	hit-skill		984	Increasing Debuff Two Mon Uber	100	1							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	aura		982	Holy Fire Mon Uber	1	1	hit-skill		984	Increasing Debuff Two Mon Uber	100	1							0
heroimpaler	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	aura		987	Varying Physical Damage Mon Uber	100	100	deadly				50	50	hit-skill		986	Increasing Debuff Three Mon Uber	100	1	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	aura		987	Varying Physical Damage Mon Uber	100	100	deadly				50	50	hit-skill		986	Increasing Debuff Three Mon Uber	100	1	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	aura		987	Varying Physical Damage Mon Uber	100	100	deadly				50	50	hit-skill		986	Increasing Debuff Three Mon Uber	100	1	0
toweringbehemoth	haste				-40	-40	dodge				50	50	crush				100	100	deadly				50	50	hit-skill		66	Amplify Damage Old	25	60							haste				-40	-40	dodge				50	50	crush				100	100	deadly				50	50	hit-skill		66	Amplify Damage Old	25	60							haste				-40	-40	dodge				50	50	crush				100	100	deadly				50	50	hit-skill		66	Amplify Damage Old	25	60							0
thunderbeetle	monrandombonus	20			100	100	gethit-skill		990	Telegraphic Plasma Rain Mon Uber	5	1	takedmg-skill		990	Telegraphic Plasma Rain Mon Uber	1	1	gethit-skill		989	Charged Bolt Blanket Mon Uber	20	1	takedmg-skill		989	Charged Bolt Blanket Mon Uber	4	1	pierce-ltng				50	50	monrandombonus	20			100	100	gethit-skill		990	Telegraphic Plasma Rain Mon Uber	5	1	takedmg-skill		990	Telegraphic Plasma Rain Mon Uber	1	1	gethit-skill		989	Charged Bolt Blanket Mon Uber	20	1	takedmg-skill		989	Charged Bolt Blanket Mon Uber	4	1	pierce-ltng				50	50	monrandombonus	20			100	100	gethit-skill		990	Telegraphic Plasma Rain Mon Uber	5	1	takedmg-skill		990	Telegraphic Plasma Rain Mon Uber	1	1	gethit-skill		989	Charged Bolt Blanket Mon Uber	5	1	takedmg-skill		989	Charged Bolt Blanket Mon Uber	1	1	pierce-ltng				50	50	0
triuneharbinger	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	aura		991	Cycling Elemental Damage Mon Uber	1	1													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	aura		991	Cycling Elemental Damage Mon Uber	1	1													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	aura		991	Cycling Elemental Damage Mon Uber	1	1													0
revenantofcorruption	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	aura		995	Increasing Power Aura Mon Uber	1	1	knock				1	1							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	aura		995	Increasing Power Aura Mon Uber	1	1	knock				1	1							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	aura		995	Increasing Power Aura Mon Uber	1	1	knock				1	1							0
devourerofsouls	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	kill-skill		1000	Collect Souls Mon Uber	100	1	kill-skill		943	Time Lapse Mon Uber	100	25							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	kill-skill		1000	Collect Souls Mon Uber	100	1	kill-skill		943	Time Lapse Mon Uber	100	25							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	kill-skill		1000	Collect Souls Mon Uber	100	1	kill-skill		943	Time Lapse Mon Uber	100	25							0
rottingabomination	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		1002	Increasing Debuff Four Mon Uber	100	1	aura		1004	Life On Striking Aura Mon Uber	1	1							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		1002	Increasing Debuff Four Mon Uber	100	1	aura		1004	Life On Striking Aura Mon Uber	1	1							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		1002	Increasing Debuff Four Mon Uber	100	1	aura		1004	Life On Striking Aura Mon Uber	1	1							0
primordialconstruct	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	gethit-skill		943	Time Lapse Mon Uber	1	50													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	gethit-skill		943	Time Lapse Mon Uber	1	50													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	gethit-skill		943	Time Lapse Mon Uber	1	50													0
crimsonlurker	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		1012	Increasing Debuff Five Mon Uber	100	1	deadly				50	50							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		1012	Increasing Debuff Five Mon Uber	100	1	deadly				50	50							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		1012	Increasing Debuff Five Mon Uber	100	1	deadly				50	50							0
needleravager	monrandombonus	20			100	100	gethit-skill		1015	Spike Nova Mon Uber	15	1	takedmg-skill		1015	Spike Nova Mon Uber	3	1	gethit-skill		1016	Increasing Power Three Mon Uber	50	1	takedmg-skill		1016	Increasing Power Three Mon Uber	10	1							monrandombonus	20			100	100	gethit-skill		1015	Spike Nova Mon Uber	15	1	takedmg-skill		1015	Spike Nova Mon Uber	3	1	gethit-skill		1016	Increasing Power Three Mon Uber	50	1	takedmg-skill		1016	Increasing Power Three Mon Uber	10	1							monrandombonus	20			100	100	gethit-skill		1015	Spike Nova Mon Uber	5	1	takedmg-skill		1015	Spike Nova Mon Uber	1	1	gethit-skill		1016	Increasing Power Three Mon Uber	50	1	takedmg-skill		1016	Increasing Power Three Mon Uber	10	1							0
betrayerofarreat	monrandombonus	20			100	100	death-skill		1018	Battle Shout Damage Mon Uber	10	1	death-skill		1019	Battle Shout Speed Mon Uber	10	1	death-skill		1020	Battle Shout Critical Mon Uber	10	1	death-skill		1021	Battle Shout Regen Mon Uber	10	1	death-skill		1022	Battle Shout Crushing Mon Uber	10	1	monrandombonus	20			100	100	death-skill		1018	Battle Shout Damage Mon Uber	10	1	death-skill		1019	Battle Shout Speed Mon Uber	10	1	death-skill		1020	Battle Shout Critical Mon Uber	10	1	death-skill		1021	Battle Shout Regen Mon Uber	10	1	death-skill		1022	Battle Shout Crushing Mon Uber	10	1	monrandombonus	20			100	100	death-skill		1018	Battle Shout Damage Mon Uber	10	1	death-skill		1019	Battle Shout Speed Mon Uber	10	1	death-skill		1020	Battle Shout Critical Mon Uber	10	1	death-skill		1021	Battle Shout Regen Mon Uber	10	1	death-skill		1022	Battle Shout Crushing Mon Uber	10	1	0
warlordofslaughter	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	deadly				50	50	crush				50	50							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	deadly				50	50	crush				50	50							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	deadly				50	50	crush				50	50							0
deathbringer	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	gethit-skill		147	Charge Buff Mon Uber	10	1	takedmg-skill		147	Charge Buff Mon Uber	3	1							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	gethit-skill		147	Charge Buff Mon Uber	10	1	takedmg-skill		147	Charge Buff Mon Uber	3	1							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	gethit-skill		147	Charge Buff Mon Uber	10	1	takedmg-skill		147	Charge Buff Mon Uber	3	1							0
deathbringerspawn	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	gethit-skill		147	Charge Buff Mon Uber	10	1	takedmg-skill		147	Charge Buff Mon Uber	3	1							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	gethit-skill		147	Charge Buff Mon Uber	10	1	takedmg-skill		147	Charge Buff Mon Uber	3	1							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	gethit-skill		147	Charge Buff Mon Uber	10	1	takedmg-skill		147	Charge Buff Mon Uber	3	1							0
thelivingdead	att-skill		371	The Living Dead Splash	100	1	gethit-skill		388	The Living Dead Charge	10	1	takedmg-skill		388	The Living Dead Charge	3	1	death-skill		372	The Living Dead Buff	100	1													att-skill		371	The Living Dead Splash	100	1	gethit-skill		388	The Living Dead Charge	10	1	takedmg-skill		388	The Living Dead Charge	3	1	death-skill		372	The Living Dead Buff	100	1													att-skill		371	The Living Dead Splash	100	1	gethit-skill		388	The Living Dead Charge	10	1	takedmg-skill		388	The Living Dead Charge	3	1	death-skill		372	The Living Dead Buff	100	1													0
rathmawitheringeffigy	death-skill		378	Rathma Tower Buff	100	1																															death-skill		378	Rathma Tower Buff	100	1																															death-skill		378	Rathma Tower Buff	100	1																															0
rathma	kill-skill		377	Rathma Kill	100	1	abs-elem%				30	30	gethit-skill		379	Rathma Rain of Fire Summon	5	1	takedmg-skill		379	Rathma Rain of Fire Summon	1	1	death-skill		381	Just Killed Rathma	100	1	death-skill		759	Extra Loot Uber Map Boss	100	3	kill-skill		377	Rathma Kill	100	1	abs-elem%				30	30	gethit-skill		379	Rathma Rain of Fire Summon	5	1	takedmg-skill		379	Rathma Rain of Fire Summon	1	1	death-skill		381	Just Killed Rathma	100	1	death-skill		759	Extra Loot Uber Map Boss	100	3	kill-skill		377	Rathma Kill	100	1	abs-elem%				30	30	gethit-skill		379	Rathma Rain of Fire Summon	5	1	takedmg-skill		379	Rathma Rain of Fire Summon	1	1	death-skill		381	Just Killed Rathma	100	1							0
kornacthehollowapostle	aura		1041	Kornac Aura	1	1	abs-elem%				30	30	death-skill		382	Just Killed Kornac	100	1																			aura		1041	Kornac Aura	1	1	abs-elem%				30	30	death-skill		382	Just Killed Kornac	100	1																			aura		1041	Kornac Aura	1	1	abs-elem%				30	30	death-skill		382	Just Killed Kornac	100	1																			0
rathmaenrageproc	state		146	Ice Wave Mon Uber	1	1																															state		146	Ice Wave Mon Uber	1	1																															state		146	Ice Wave Mon Uber	1	1																															0
kornacally	hit-skill		383	Kornac Increasing Buff	25	1	kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																			hit-skill		383	Kornac Increasing Buff	25	1	kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																			hit-skill		383	Kornac Increasing Buff	25	1	kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																			0
lucion	takedmg-skill		390	Lucion High Priest Summon	4	1	abs-elem%				30	30	aura		1073	Lucion Enrage Aura	1	1	death-skill		811	Just Killed Boss	100	61	death-skill		394	Lucion Essence Drop	100	1	death-skill		759	Extra Loot Uber Map Boss	100	3	takedmg-skill		390	Lucion High Priest Summon	4	1	abs-elem%				30	30	aura		1073	Lucion Enrage Aura	1	1	death-skill		811	Just Killed Boss	100	61	death-skill		394	Lucion Essence Drop	100	1	death-skill		759	Extra Loot Uber Map Boss	100	3	takedmg-skill		390	Lucion High Priest Summon	4	1	abs-elem%				30	30	aura		1073	Lucion Enrage Aura	1	1	death-skill		811	Just Killed Boss	100	61	death-skill		394	Lucion Essence Drop	100	1							0
lucionreligiousfanatic	hit-skill		389	Lucion Religious Fanatic Debuff	100	1																															hit-skill		389	Lucion Religious Fanatic Debuff	100	1																															hit-skill		389	Lucion Religious Fanatic Debuff	100	1																															0
lucionhighpriest	death-skill		391	Lucion Vulnerability	100	1																															death-skill		391	Lucion Vulnerability	100	1																															death-skill		391	Lucion Vulnerability	100	1																															0
earthcracker	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		395	Petrify Debuff Mon Uber	25	1	red-dmg				2500	2500	gethit-skill		978	Visible Enrage Mon Uber	10	1	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		395	Petrify Debuff Mon Uber	25	1	red-dmg				2500	2500	gethit-skill		978	Visible Enrage Mon Uber	10	1	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	hit-skill		395	Petrify Debuff Mon Uber	25	1	red-dmg				2500	2500	gethit-skill		978	Visible Enrage Mon Uber	10	1	0
necroskeleton	kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									0
claygolem	kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									0
bloodgolem	kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									0
irongolem	kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									0
firegolem	kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									0
necromage	kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									0
summonleoric	kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									0
druidhawk	kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									0
spiritwolf	kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									0
fenris	kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									0
heartofwolverine	kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									kill-skill		850	Kill Tracker	100	1	aura		153	Summon Resistance Passive Ele	1	1																									0
