skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	HireableIconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc2line5	dsc2texta5	dsc2textb5	dsc2calca5	dsc2calcb5	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	*eol
wearbear	2	1	3	2	22		Skillname229	Skillld229	Skillld229	Skillname229																	36	StrSkillDurationSingular	StrSkill20	len	25	4	StrSkill275		ast4		74	StrSkill21		ast2		74	StrSkillDamagePercent		ast1		74	StrSkill100		ast5							36	StrSkill3		usmc	256	74	StrSkill106		ast3		74	StrSkill106b		ast6												40	Sksyn	Skillname229	2		76	AttSpeedplev	Skillname224	par7		63	Skillname224	FRWplev	par7																						0
feral rage	2	3	1	2	54		Skillname233	Skillld233	Skillld233	Skillname233	7	clc1											2				75	StrSkillLifeStealRange		par5	par5*clc2	75	StrSkillRunWalkRange		par6	par6*clc2	74	StrSkill22		toht		74	maulmaxstacks		clc2		36	StrSkillStunLengthSingular	StrSkill48	ast5	25	74	uptophysicaldamage			par2*clc2*clc3	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkill3		usmc	256	74	WeapDamsk		150												40	Sksyn	Skillname233	2		67	Skillname225	Secplev1	1		76	maulchargesynergy	Skillname243	1		76	maulchargesynergy	Skillname249	1																	0
maul	2	3	3	2	56		Skillname234	Skillld234	Skillld234	Skillname234	1												2				36	StrSkillStunLengthSingular	StrSkill48	dm56	25	75	frenzyDamage		par3	par3*clc2	74	StrSkill22		toht		74	maulmaxstacks		clc2		74	uptolifesteal			par2*clc2*clc3	74	uptowalkrunspeed			par2*clc2*clc3	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkill3		usmc	256	74	WeapDamsk		150												40	Sksyn	Skillname234	2		67	Skillname225	Secplev1	1		76	maulchargesynergy	Skillname243	1		76	maulchargesynergy	Skillname244	1																	0
cyclone armor	3	1	1	3	40		Skillname236	Skillld236	Skillld236	Skillname236																	36	StrSkill3		usmc	256	74	elementalandmagicabsorb		ast1		74	lifereplenish		ast5																	36	StrSkillDurationSingular	StrSkill20	len	25																																																								0
summon fenris	1	1	2	1	12		Skillname238	summondirewolf3	summondirewolf3	Skillname238																	36	StrSkill3		usmc	256	5	StrSkill208		clc4		75	StrSkill4		pnma	pxma	74	StrSkillDefense		clc3		13	StrSkill42		clc1		74	ESkillWolves		pets		74	StrSkill54		ast1																																																									0
rabies	2	5	1	2	24		Skillname239	Skillld239	Skillld239	Skillname239	25	2400	2400										2				36	StrSkill3		usmc	256	36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	74	StrSkill22		toht																	74	rabiesdamagepersecond		100																						40	Sksyn	Skillname239	2		76	AttRateplev	Skillname233	par8		76	PoisLenplev	Skillname249	par7																						0
fire claws	2	4	2	2	26		Skillname240	fireclaws23	fireclaws23	Skillname240	5												1				36	StrSkill3		usmc	256	74	fireclawsfiretrails		clc1		74	StrSkill22		toht		74	enemyelementalresist		clc6*ast1		74	phystofiredesc		min(100,49+lvl)							74	WeapDamsk		50																						40	Sksyn	Skillname240	2		76	AttRateplev	Skillname243	par8		76	fireclawstrailsynergy	freezingclaws1	par7		18	fireclawsdebuffsynergy																			0
twister	3	1	3	3	42		Skillname241	twister3	twister3	Skillname241	5																36	StrSkill3		usmc	256	75	StrSkill4		pnma	pxma	5	ESkillMiss		clc1																	36	StrSkillStunLengthSingular	StrSkill48	par2	25																					40	Sksyn	Skillname241	2		76	Damplev	Skillname236	par8		76	Damplev	elementalform1	par8		76	Damplev	Skillname387	par8		76	Damplev	cataclysm1	par8												0
hunger	2	3	2	2	58		Skillname243	Skillld243	Skillld243	Skillname243	14												1				36	StrSkill3		usmc	256	74	physicaldamagepercharge		clc3		74	lifestealpercharge		clc2																	18	totalphysicaldamagepercharge				74	bonusphysicalresist		ast1		36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25											40	Sksyn	Skillname243	2		76	hungerlifestealsynergy	Skillname233	1		76	hungerdamagesynergy	Skillname234	4		18	hungercooldownsynergy																			0
shock wave	2	5	3	2	28	43	Skillname244	shockwave23	shockwave23	Skillname244	5												1				36	StrSkill3		usmc	256	74	StrSkill22		toht		36	StrSkillRadiusSingular	StrSkill18	21+lvl/4	3																74	WeapDamsk		100		74	shockwavereverberate		30																	40	Sksyn	Skillname244	2		76	AttRateplev	Skillname243	par8		18	shockwavequaddamagesynergy																								0
volcano	3	6	2	3	44	41	Skillname245	Skillld245	Skillld245	Skillname245	5																36	StrSkill3		usmc	256	75	StrSkill5		enma	exma																					36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25																					40	Sksyn	Skillname245	2		76	Firedplev	Skillname236	par8		76	Firedplev	elementalform1	par8		76	Firedplev	flameburst1	par8		76	Firedplev	Skillname226	par8												0
summon grizzly	1	6	2	1	18		Skillname248	summongrizzly3	summongrizzly3	Skillname248																	36	StrSkill3		usmc	256	5	StrSkill208		clc4		75	StrSkill6		edmn	edmx	75	StrSkill4		pnma	pxma	74	StrSkillDefense		clc3		13	StrSkill42		clc1		74	StrSkill154		ast2		74	StrSkill54		pst2																																																				0
fury	2	6	1	2	30		Skillname249	fury23	fury23	Skillname249	5												2				36	StrSkill3		usmc	256	74	StrSkill22		toht		74	StrSkill11		clc1		74	enemyphysicalresist		ast1*clc6												74	furyenemieshit		5		74	WeapDamsk		75																	40	Sksyn	Skillname249	2		76	AttRateplev	Skillname243	par8		76	extrahitsynergy	Skillname233	10		18	furydebuffsynergy																			0
hurricane	3	4	1	3	48	47	Skillname251	Skillld251	Skillld251	Skillname251	5																36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkill6		enma	exma											36	StrSkillRadiusSingular	StrSkill18	rng*2	3	18	StrSkill245																			40	Sksyn	Skillname251	2		76	Colddplev	elementalform1	par8		76	Colddplev	Skillname236	par8		76	Colddplev	frozenblast1	par8		76	Colddplev	whirlpool1	par8		76	Colddplev	monsoon1	par8		67	Skillname236	Secplev1	4		0
fire trauma	1	1	2	1	0		coldblast1	coldblast3	coldblast3	coldblast1	5																36	StrSkill3		usmc	256	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkill6		enma	exma	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	coldblastsecondary		25/clc4																																40	Sksyn	coldblast1	2		76	Colddplev	Skillname395	par8		76	Colddplev	Skillname396	par8		76	Colddplev	Skillname257	par7		76	Colddplev	alltraps	par7												0
claw mastery	2	1	1	2	20		meleemastery1	meleemastery3	meleemastery3	meleemastery1																	74	eskillincasemasteryX		pst3		74	StrSkillDamagePercent		pst2		74	StrSkill22		pst1																	74	selfsynergyeffect		3																																																									0
psychic hammer	2	4	2	2	22		Skillname254	psychichammer3	psychichammer3	Skillname254	5																36	StrSkill3		usmc	256	74	StrSkill11		clc1/clc6		36	vulnerabilityduration	vulnerabilityduration	clc2	25																74	bonusphysicalresist		ast1		74	phystomagicdesc		100		74	WeapDamsk		150												40	Sksyn	Skillname254	2		76	bladenovaphysicalresistsynergy	Skillname265	1		18	psychichammerhitssynergy																								0
tiger strike	3	1	1	3	40		Skillname255	Skillld255	Skillld255	Skillname255	5												2				74	StrSkill22		toht		74	StrSkillAssassinTigerStrikeCharge3		3*clc1		74	StrSkillAssassinTigerStrikeCharge2		2*clc1		74	StrSkillAssassinTigerStrikeCharge1		clc1												36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25																40	Sksyn	Skillname255	2		76	Damplev	bladenova1	par8		76	AttRateplev	Skillname271	par7																						0
dragon talon	3	4	2	3	42		Skillname256	dragontalon3	dragontalon3	Skillname256	15																36	StrSkill3		usmc	256	74	StrSkillDamagePercent		clc1		74	dragontalonelementalbonus		ast3		74	buffphysicaldamage		ast4												36	buffduration	buffduration	clc2	25																					40	Sksyn	Skillname256	2		76	ElemDampLev	Skillname268	1		76	buffphysicaldamagesynergy	Skillname392	par8		76	enemypoisonresistsynergy	Skillname279	-par7		76	AttSpeedplev	Skillname259	1												0
shock field	1	1	3	1	2		Skillname257	Skillld257	Skillld257	Skillname257	5													shock field on ground			36	StrSkillDurationSingular	StrSkill20	miss('shock field on ground'.rang)	25	75	StrSkillLightningDamageAveragePerSecond		edmn	edmx	74	ESkillSpikes		par1+lvl/par2+skill('Fire Trauma'.blvl)/3																	36	StrSkill3		usmc	256																					40	Sksyn	Skillname257	2		76	Ltngdplev	alltraps	par8		76	shockWebYards	Skillname277	1		76	Ltngdplev	coldblast1	par7		76	Ltngdplev	Skillname395	par7		76	Ltngdplev	Skillname396	par7							0
quickness	2	2	1	2	36		Skillname259	Skillld259	Skillld259	Skillname259																	74	StrSkill89		dm12		74	StrSkill106		dm34		36	StrSkillDurationSingular	StrSkill20	len	25																36	StrSkill3		usmc	256																					40	Sksyn	Skillname259	2		76	elementalresistsynergy	Skillname268	par5		76	poisonresistsynergy	Skillname279	par6		76	physicalresistsynergy	Skillname392	par7																	0
fists of fire	3	2	3	3	44		Skillname260	fistsoffire23	fistsoffire23	Skillname260	19												2		fistsoffirefurybolt	fistsoffireflowerbolt	36	StrSkill3		usmc	256	75	fistsoffirecharge3		m3en	m3ex	74	firebolthits		5+lvl/2		75	fistsoffirecharge2		m2en	m2ex	74	StrSkill220		ast3		75	fistsoffirecharge1		enma	exma	36	StrSkillDurationSingular	StrSkill20	len	25																					40	Sksyn	Skillname260	2		76	Firedplev	Skillname270	par8		76	Firedplev	Skillname275	par8		76	Firedplev	Skillname281	par8		76	Firedplev	bladenova1	par8												0
charged bolt sentry	1	2	3	1	8		lavasentry1	lavasentry3	lavasentry3	lavasentry1	5																36	StrSkill3		usmc	256	75	StrSkill5		enma	exma				"min(ln12,30)"																	74	ESkillShoots		clc4		5	StrSkill216		pets																	40	Sksyn	lavasentry1	2		76	Firedplev	Skillname257	par8		76	Firedplev	alltraps	par8																						0
wake of fire sentry	2	5	3	2	72		cmastery1	cmastery2	cmastery2	cmastery1	5																74	commandmasterywarriors		lvl/20		74	commandmasterymasters		lvl/30																						74	commandmasterywarriorbonus		1		74	commandmasterymasterbonus		1																																																				0
weapon block	2	1	3	2	26		Skillname264	Skillld264	Skillld264	Skillname264																	74	StrSkill24		pst1																											18	sinextrablock				74	selfsynergyeffect		3																																																				0
cloak of shadows	2	1	2	2	24		Skillname265	Skillld265	Skillld265	Skillname265																	74	totaldefensepenalty		ast1		74	enemyphysicalresist		ast3		74	enemyelementalresist		ast4																	36	StrSkill3		usmc	256	74	enemymagicresist		ast2		36	StrSkill18		rng		36	StrSkillDurationSingular	StrSkill20	len	25						40	Sksyn	Skillname265	2		76	enemymagicresistdoublesynergy	Skillname254	-par8		76	enemymagicresistdoublesynergy	Skillname274	-par8																						0
cobra strike	3	1	3	3	70		dblade1	dblade3	dblade3	dblade1	5												2				36	StrSkill3		usmc	256	74	StrSkill22		toht		36	StrSkill11		clc2/(clc6+1)																	74	WeapDamsk		75		36	seekrange	seekrange	clc1*2/(clc6+1)	3	18	dbladeWeapons														40	Sksyn	dblade1	2		76	AttRateplev	bladenova1	par8		18	dragonbladeseekrangesynergy																								0
fade	2	4	1	2	30		Skillname268	Skillld268	Skillld268	Skillname268																	74	StrSkill54		ast1		74	ModStr2uPercent		ast6		74	StrSkill85		dm34		36	StrSkillDurationSingular	StrSkill20	len	25											36	StrSkill3		usmc	256																					40	Sksyn	Skillname268	2		76	quicknesssynergy	Skillname259	par6		76	poisonresistsynergy	Skillname279	par5		76	physicalresistsynergy	Skillname392	par6																	0
shadow warrior	2	2	3	2	38		Skillname269	Skillld269	Skillld269	Skillname269																	36	StrSkill3		usmc	256	74	StrSkill54		ast5		74	physicaldamage		ast4		74	elementaldamage		pst1		13	StrSkill42		clc1		74	skilllevel		pst1		74	StrSkillDefense		ast2		74	StrSkill208		ast2*3		5	StrSkill156		clc2		5	ESkillShadow		pets		18	shadowpetaura				40	Sksyn	Skillname269	2		76	Defplev	Skillname280	par5		76	AttRateplev	Skillname280	par6																						0
claws of thunder	3	4	3	3	58		Skillname270	clawsofthunder23	clawsofthunder23	Skillname270	19												2		clawsofthunderorbbolt	clawsofthunderspawner	36	StrSkill3		usmc	256	75	clawsofthundercharge3		m3en	m3ex	74	hominglightningnumber		5+lvl/4		75	clawsofthundercharge2		m2en	m2ex	74	StrSkill224		ast3		75	clawsofthundercharge1		enma	exma	36	StrSkillDurationSingular	StrSkill20	len	25																					40	Sksyn	Skillname270	2		76	Ltngdplev	Skillname260	par8		76	Ltngdplev	Skillname275	par8		76	Ltngdplev	Skillname281	par8		76	Ltngdplev	bladenova1	par8												0
dragon tail	3	1	2	3	48		Skillname271	dragontail3	dragontail3	Skillname271	16												5				36	StrSkill3		usmc	256	74	StrSkillFireDamagePercent		clc1		36	StrSkillRadiusSingular	StrSkill18	rng*2/clc6	3																74	phystofiredesc		100																						40	Sksyn	Skillname271	2		76	Firedplev	bladenova1	par7		18	dragontailaoesynergy																								0
lightning sentry	1	4	3	1	12		Skillname272	Skillld272	Skillld272	Skillname272	5																36	StrSkill3		usmc	256	75	StrSkill7		enma	exma	36	StrSkillStunLengthSingular	StrSkill48	15	25																74	ESkillShoots		par1		5	StrSkill216		pets																	40	Sksyn	Skillname272	2		76	Ltngdplev	Skillname257	par8		76	Ltngdplev	alltraps	par8																						0
inferno sentry	1	5	3	1	14		steamsentry1	steamsentry3	steamsentry3	steamsentry1	25	300	300											meteorsentryfire			36	StrSkill3		usmc	256	75	StrSkill5		enma*4	exma*4	75	StrSkillFireDamageAveragePerSecond		m1eo*25*3*(mael+100)/25/256	m1ey*25*3*(mael+100)/25/256	36	StrSkillFireDurationSingular	StrSkill82	90	25	74	fireandlightningres		-lvl/2							74	ESkillShoots		par1		5	StrSkill216		pets																	40	Sksyn	steamsentry1	2		76	Firedplev	Skillname257	par8		76	Firedplev	alltraps	par8																						0
mind blast	2	6	2	2	34		Skillname274	mindblast3	mindblast3	Skillname274	5																36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	15+lvl/3	3	74	enemymagicresist		ast1																	36	StrSkillCooldownSingular	StrSkillCooldown	clc4	25	74	phystomagicdesc		100		36	StrSkillStunLengthSingular	StrSkill48	100	25	74	WeapDamsk		100		74	WeapDamskMindBlastWave		150		40	Sksyn	Skillname274	2		76	enemymagicresistsynergy	Skillname265	-par8		18	mindblastcooldownsynergy																								0
blades of ice	3	5	3	3	52		Skillname275	bladesofice23	bladesofice23	Skillname275	19												2		bladesoficemeteorbolt	bladesoficebolt	36	StrSkill3		usmc	256	75	bladesoficecharge3		m3en	m3ex	74	coldshardhits		15+lvl		75	bladesoficecharge2		m2en	m2ex	74	StrSkill223		ast3		75	bladesoficecharge1		enma	exma	36	StrSkillDurationSingular	StrSkill20	len	25																					40	Sksyn	Skillname275	2		76	Colddplev	Skillname260	par8		76	Colddplev	Skillname270	par8		76	Colddplev	Skillname281	par8		76	Colddplev	bladenova1	par8												0
death sentry	1	6	3	1	16		Skillname277	Skillld277	Skillld277	Skillname277	5																36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	skill('mon death sentry'.par3) + skill('mon death sentry'.par4) * (lvl - 1)	3	75	StrSkill7		enma	exma	75	Corexpdam		clc1	clc2											74	ESkillShoots		par1		5	StrSkill216		pets																	40	Sksyn	Skillname277	2		76	Ltngdplev	alltraps	par8																											0
venom	2	5	1	2	28		Skillname279	Skillld279	Skillld279	Skillname279																	18	venomduration				75	StrSkill8		enms*edln/256	exms*edln/256	36	StrSkillDurationSingular	StrSkill20	len	25																36	StrSkill3		usmc	256																					40	Sksyn	Skillname279	2		76	Poisdplev	pstream1	par8		76	Poisdplev	shurikentrap1	par8		76	Poisdplev	Skillname393	par8		76	Poisdplev	bladenova1	par8												0
shadow master	2	3	3	2	32		Skillname280	Skillld280	Skillld280	Skillname280																	36	StrSkill3		usmc	256	74	StrSkill54		ast1		74	physicaldamage		ast5		74	elementaldamage		pst1		13	StrSkill42		clc1							74	StrSkill21		pst9		74	StrSkill22		skill('Shadow Warrior'.blvl)*par6		5	StrSkill156		clc2		5	ESkillShadow		pets		18	shadowpetaura				40	Sksyn	Skillname280	2		76	Defplev	Skillname269	par5		76	AttRateplev	Skillname269	par6																						0
royal strike	3	6	3	3	56		Skillname281	Skillld281	Skillld281	Skillname281	18			fire	m1en	m1ex	ltng	m2en	m2ex	cold	m3en	m3ex	2	royalstrikemeteorexp	royalstrikelightningfurytwo	royalstrikecoldexp	75	Eskillphoenix3		m3en	m3ex	75	Eskillphoenix2		m2en	m2ex	75	StrSkillFireDamageAveragePerSecond		miss('royalstrikemeteorfireone'.edns)*3*25/128	miss('royalstrikemeteorfireone'.edxs)*3*25/128	75	Eskillphoenix1		m1en	m1ex											36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25																40	Sksyn	Skillname281	2		63	Skillname260	Alldplev	par8		63	Skillname270	Alldplev	par8		63	Skillname275	Alldplev	par8		63	bladenova1	Alldplev	par8												0
delerium change	0	0	0	0	2		Runeword846	Runeword846	Runeword846	Runeword846																																																																																																											0
interact	0	0	0	0	2		SkillNameInteract	SkillDescInteract	SkillDescInteract	SkillNameInteract																																																																																																											0
loot	0	0	0	0	2		SkillNameLoot	SkillDescLoot	SkillDescLoot	SkillNameLoot																																																																																																											0
townportal	0	0	0	0	18		skillname219	skillld219	skillld219	skillname219																																																																																																											0
emotewheel	0	0	0	0	2		SkillNameEmoteWheel	SkillDescEmoteWheel	SkillDescEmoteWheel	SkillNameEmoteWheel																																																																																																											0
swapweapons	0	0	0	0	2		SkillNameSwapWeapons	SkillDescSwapWeapons	SkillDescSwapWeapons	SkillNameSwapWeapons																																																																																																											0
map	0	0	0	0	2		SkillNameMap	SkillDescMap	SkillDescMap	SkillNameMap																																																																																																											0
showitems	0	0	0	0	2		SkillNameShowItems	SkillDescShowItems	SkillDescShowItems	SkillNameShowItems																																																																																																											0
runtoggle	0	0	0	0	2		SkillNameRunToggle	SkillDescRunToggle	SkillDescRunToggle	SkillNameRunToggle																																																																																																											0
legendary arrow	1	5	1	1	64	61	Skillname363	Skillld363	Skillld363	Skillname363	5												1				36	StrSkill3		usmc	256	74	StrSkillDamagePercent		ast1		74	StrSkill22		toht		74	legendaryarrowsplits		9/clc4												74	WeapDamsk		45		18	legendaryarrowsplitsdesc				74	phystofiredesc		min(100,skill('Exploding Arrow'.blvl)*5)		74	piercedesc		ast2							40	Sksyn	Skillname363	2		76	AttRateplev	skillname12	par8		76	Damplev	tornadoshot1	par8		76	piercesynergy	skillname26	par7		76	phystofire	skillname16	5												0
dance of death	3	5	1	3	62	1	Skillname364	Skillld364	Skillld364	Skillname364	5												1				36	StrSkill3		usmc	256	74	StrSkill22		toht		36	doubledamagechance	doubledamagechance	(10+lvl/2+skill('Spearstorm'.blvl)/2)																	74	WeapDamsk		50		18	spearorjavelinrequirement				74	phystofiredesc		min(100,skill('Inferno Fury'.blvl)*5)		74	WeapDamsk		clc2							40	Sksyn	Skillname364	2		76	phystofire	firestrike1	5		18	danceofdeathdoublesynergy				76	AttRateplev	skillname30	par8		18	danceofdeathquaddamage														0
timestop	2	6	1	2	60	51	Skillname367	Skillld367	Skillld367	Skillname367																	36	StrSkill3		usmc	256	75	StrSkill7		enma	exma	36	StrSkill62	StrSkill29	len	25																36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25																																																								0
fanatic swing	1	3	2	1	62		Skillname368	fanaticswing3	fanaticswing3	Skillname368	5												1				36	StrSkill3		usmc	256	74	StrSkill22		toht		74	StrSkill11		clc1/clc6		74	lifeonstrikingskill		ast4		74	manaonstrikingskill		ast5		74	flatphysicaldamagereduction		ast6		74	furyenemieshit		4		74	additionalhitsperleveldesc		15		74	fanaticswingdamage		25												40	Sksyn	Skillname368	2		76	AttRateplev	skillname52	par8		76	buffphysicaldamagesynergy	staticfocus1	par5		76	smiteregensynergy	glacialfocus1	5		76	StrSkillAttackRatingPerLevelFlat	moltenfocus1	par6		18	fanaticswingspecialsynergies									0
omnipotence	1	6	3	1	72		omnipotence1	omnipotence23	omnipotence23	omnipotence1																	74	hpregenpenaltyflat		clc2		74	totaldamagebonus		ast2																						36	hpregenpenalty	hpregenpenalty	clc1	5	18	exclusiveskill																																																						0
seruption	1	5	1	1	78	44	Skillname370	fissure23	fissure23	Skillname370	9																36	StrSkill3		usmc	256	75	StrSkillFireDamageAveragePerSecond		enms*25*3/256	exms*25*3/256																					36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25	18	conflagratestacks																			40	Sksyn	Skillname370	2		76	Firedplev	flamewave1	par8		76	Firedplev	skillname46	par8		76	Firedplev	moltenfocus1	par8*2																	0
stwister	3	1	1	3	68	50	Skillname371	stwister3	stwister3	Skillname371	5																36	StrSkill3		usmc	256	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkill6		enma	exma																74	twisternumber		clc1																						40	Sksyn	Skillname371	2		76	Colddplev	skillname59	par8		76	Colddplev	orbofwinter1	par8		76	Colddplev	glacialfocus1	par8*2																	0
poisonmastery	1	6	3	1	60		Skillname372	Skillld372	Skillld372	Skillname372																	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	3	poisonMasteryPois	StrSkill23	ast1		3	poisonMasteryMag	StrSkill23	ast2												36	StrSkill3		usmc	256																					40	Sksyn	Skillname372	2		76	enemymagicpoisonresistplevtt	anyothercurse	-2																											0
killer scythe	2	1	3	2	62		Skillname373	Skillld373	Skillld373	Skillname373	5												1				36	StrSkill3		usmc	256	36	buffduration	buffduration	len	25	74	StrSkill22		toht		36	reapsoulsmanaonstriking	reapsoulsmanaonstriking	ast3*25	25	74	reapsoulslifeonstriking		ast2		74	uptophysicaldamage		ast1		74	uptopoisondamage		ast5		74	WeapDamsk		50		74	phystomagicdesc		min(100,skill('Poison Mastery'.blvl)*5)		18	polearmrequirement									40	Sksyn	Skillname373	2		76	AttRateplev	poisonDagger1	par8		76	phystomagic	Skillname372	5		18	reapsoulspoisonpiercesynergy																			0
hells gate	2	6	1	2	64		Skillname374	Skillld374	Skillld374	Skillname374	5																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma	36	StrSkillRadiusSingular	StrSkill18	21+lvl/3	3																																									40	Sksyn	Skillname374	2		76	Magdplev	skillname68	par8		76	Magdplev	frozenspear1	par8		76	Magdplev	skillname93	par8		76	Magdplev	skillname74	par8												0
auraofdivinity	3	5	3	3	60		Skillname377	Skillld377	Skillld377	Skillname377																	74	Moditem2ExpG		ast2		36	StrSkillRadiusSingular	StrSkill18	rng*2	3	4	divinityskillstotal		ast1		74	divinitylightradiusbonus		clc6		74	auraofdivinitylightradiusdesc		clc5																																																																			0
arrow of confession	1	1	2	1	62		Skillname378	Skillld378	Skillld378	Skillname378	6												1				36	StrSkill3		usmc	256	74	arrowofconfessionorbs		par1+lvl/par2+skill('SSummon Grizzly'.blvl)/par7		36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	arrowofconfessiontargets		clc1/clc5		74	StrSkill22		toht		74	StrSkillDamagePercent		ast1		74	WeapDamsk		30		74	phystomagicdesc		min(100,skill('SGrim Ward'.blvl)*5)																	40	Sksyn	Skillname378	2		76	AttRateplev	Skillname379	par8		76	Damplev	skillname108	par6		76	holyrainorbsynergy	Skillname381	par7		76	phystomagic	Skillname380	5		18	holyraindoublesynergy									0
sacred piercer	1	6	3	1	64		Skillname379	Skillld379	Skillld379	Skillname379	6												1				36	StrSkill3		usmc	256	74	sacredpiercerholybolts		20/(clc4+clc5)		74	StrSkill22		toht		74	mainmissiledamage		clc2												74	WeapDamsk		50		18	sacredpiercerreq				74	phystomagicdesc		min(100,skill('SGrim Ward'.blvl)*5)							74	mainmissiles		clc1		40	Sksyn	Skillname379	2		76	AttRateplev	Skillname378	par8		76	Damplev	skillname113	par5		76	trinityadditionalarrow	Skillname381	par7		76	phystomagic	Skillname380	5		18	trinitypentamissiles									0
sgrim ward	3	4	3	3	66		Skillname380	Skillld380	Skillld380	Skillname380																	36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	enemyphysicalresist		ast1		74	enemymagicresist		ast2		36	grimwardduration	grimwardduration	clc1	25						36	grimwardcurseduration	grimwardcurseduration	len	25																																																								0
ssummon grizzly	2	6	2	2	68		Skillname381	Skillld381	Skillld381	Skillname381																	74	StrSkill54		ast1		74	StrSkill208		ast6		75	StrSkill4		pnma	pxma	13	StrSkill42		clc1		74	StrSkillDefense		ast5							36	StrSkill3		usmc	256	5	ESkillADefender		pets		74	defenderpets		25												40	Sksyn	Skillname381	2		25	Skillname380	Bearplev																												0
elementalmastery	3	5	2	3	62	57	ancientscall1	ancientscall3	ancientscall3	ancientscall1																	36	StrSkill3		usmc	256	74	enemymagicresist		ast5		74	enemyelementalandpoisonres		ast1																	36	StrSkillDurationSingular	StrSkill20	len	25																																																								0
phantom hatchets	1	2	1	1	66		Skillname383	phatchets3	phatchets3	Skillname383	5												1				36	StrSkill3		usmc	256	74	StrSkill22		toht		74	StrSkillDamagePercent		ast1		74	axeswarmaxes		4+lvl/4												74	WeapDamsk		25																						40	Sksyn	Skillname383	2		76	Damplev	strenght1	par8		76	AttRateplev	hatchetflurry1	par8		18	phantomhatchetsnovasynergy																			0
berserk fury	1	6	1	1	68		Skillname384	Skillld384	Skillld384	Skillname384	5												1				36	StrSkill3		usmc	256	74	StrSkill22		toht		74	StrSkillDamagePercent		ast1		74	magicalbolts		clc1		36	seekrange	seekrange	rng*2	3	74	phystomagicdesc		min(100,49+lvl)		74	WeapDamsk		50																						40	Sksyn	Skillname384	2		76	Damplev	strenght1	par8		76	AttRateplev	stampede1	par8		76	totalboltssynergy	skillname135	par7																	0
snova	2	3	3	2	70		Skillname385	Skillld385	Skillld385	Skillname385	5																36	StrSkill3		usmc	256	75	StrSkill7		enma	exma																																														40	Sksyn	Skillname385	2		76	Ltngdplev	ccmastery1	par8		76	Ltngdplev	tstrike1	par8		76	Ltngdplev	twave1	par8		76	Ltngdplev	plasmarain1	par8		76	Ltngdplev	Skillname386	par8							0
