index	*ID	version	enabled	*Skip Generation	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Bladebone	677	0	1			0	1	20	10	p03	Double Axe		5	5000	lgry	lgry						tinkerflag2		25	35	dmg-demon		400	500	att-demon		400	500	swing2		30	30	ignore-demon-resist		1	1	move2		30	30	dmg-norm		20	30																						0
Mindrend	678	0	1			0	1	28	14	p04	Military Pick		5	5000	lgrn							tinkerflag2		25	35	crush		100	100	swing2		-20	-20	dmg-min		30	50	strpercent		25	25	ignore-ac		1	1	dmg%		100	100																						0
Rakescar	679	0	1			0	1	36	18	p05	War Axe		5	5000	dgry	dgry						tinkerflag2		25	35	dmg%		100	150	dmg/lvl	8			dmg-bleed	50	100	200	regen		100	150	att		80	120																										0
Fechmars Axe	680	0	1			0	1	11	5	p06	Large Axe		5	5000	lpur	lpur						tinkerflag2		25	35	dmg%		100	125	att-skill	Freezing Claws Proc	50	10	freeze		1	1	dmg-cold	100	100	125	res-all		20	40	regen		150	150																						0
Goreshovel	681	0	1			0	1	19	9	p07	Broad Axe		5	5000	dpur	dpur						tinkerflag2		25	35	dmg-norm		50	75	attackrate		-50	-50	dmg-bleed	250	400	500	deadly/lvl	8			att-skill	Concentrate Proc	100	1	lifesteal		5	10																						0
The Chieftan	682	0	1			0	1	26	13	p08	Battle Axe		5	5000	oran							tinkerflag2		25	35	aura	Might	5	10	dmg%		100	100	dmg-norm		10	20	res-all		50	50	extra-summ		20	30	oskill	SSummon Grizzly	3	3	kill-skill	Battle Orders	10	10																		0
Brainhew	683	0	1			0	1	34	17	p09	Great Axe		5	5000	whit							tinkerflag2		25	35	manasteal		10	20	kill-skill	Fire Surge	33	15	kill-skill	Cold Surge	33	15	kill-skill	Lightning Surge	33	15	swing2		20	30	pierce-fire		5	15	pierce-cold		5	15	pierce-ltng		5	15	res-elem		20	40										0
The Humongous	684	0	1			0	1	39	20	p10	Giant Axe		5	5000	blac	blac						tinkerflag2		25	35	str		80	100	dmg-min		40	80	dmg-max		50	100	crush		33	33	ease		300	300	deadly		33	33	strpercent		20	30																		0
Iros Torch	685	0	1			0	1	7	3	p11	Wand		5	5000	cred							tinkerflag2		25	35	kill-skill	Fire Surge	100	1	fireskill		1	2	kill-skill	Blaze	100	3	regen-mana		50	100	extra-fire		10	20	heal-kill		10	20																						0
Maelstromwrath	686	0	1			0	1	19	9	p12	Yew Wand		5	5000	dblu	dblu						tinkerflag2		25	35	kill-skill	Lightning Surge	100	5	pierce-ltng		1	15	swing2		50	50	att-skill	Zap	100	15	hp		1	100	red-dmg		1	20																						0
Gravenspine	687	0	1			0	1	27	14	p13	Bone Wand		5	5000	cgrn							tinkerflag2		25	35	mana-kill		10	20	nec		2	2	skill	Sacrificial Offering	10	20	kill-skill	Poison Explosion	50	15	pierce-pois		10	15																										0
Umes Lament	688	0	1			0	1	38	23	p14	Grim Wand		5	5000	lblu	lblu						tinkerflag2		25	35	gethit-skill	Poison Surge	50	25	gethit-skill	Magic Surge	50	25	skilltab	6	2	7	regen-mana		50	100	extra-pois		10	20	extra-mag2		10	20																						0
Felloak	689	0	1			0	1	4	2	p15	Club		5	5000	lgry							tinkerflag2		25	35	res-ltng		60	60	res-fire		60	60	dmg-fire		40	60	dmg-ltng		1	100	knock		1	1	swing2		20	30																						0
Knell Striker	690	0	1			0	1	7	3	p16	Scepter		5	5000	dred	dred						tinkerflag2		25	35	slow		50	75	dmg-cold	100	25	50	att		50	100	move2		20	20	swing2		20	20	dmg%		25	50	dex		10	20																		0
Rusthandle	691	0	1			0	1	23	11	p17	Grand Scepter		5	5000	lgld	lgld						tinkerflag2		25	35	pal		1	1	skill	Thorns	10	20	red-dmg		5	10	red-mag		5	10	thorns		200	300	thorns/lvl	40																								0
Stormeye	692	0	1			0	1	31	16	p18	War Scepter		5	5000	cred	cred						tinkerflag2		25	35	aura	Holy Shock	10	20	dmg-ltng		1	500	hit-skill	Mace Mastery	3	20	pierce-ltng		10	15	swing2		20	60	enr		20	40																						0
Stoutnail	693	0	1			0	1	7	3	p19	Spiked Club		5	5000	dgry							tinkerflag2		25	35	kill-skill	Spike Nova Proc	20	1	hit-skill	Arrow Hit Skill	20	1	swing2		40	40	life-on-striking		1	1	thorns/lvl	40			crush		10	10																						0
Crushflange	694	0	1			0	1	12	6	p20	Mace		5	5000	blac	blac						tinkerflag2		25	35	str		30	40	knock		1	1	att-skill	Stun Proc	100	1	res-all		20	30	dmg%		100	150	crush		33	33																						0
Bloodrise	695	0	1			0	1	20	10	p21	Morning Star		5	5000	lblu							tinkerflag2		25	35	dmg-bleed	25	100	150	kill-skill	Spike Nova Proc	17	20	life-on-striking		1	2	dmg%/lvl	32			dmg-max		20	50	ease		50	100	regen		150	200																		0
The Generals Tan Do Li Ga	696	0	1			0	1	28	14	p22	Flail		5	5000	dblu	dblu						tinkerflag2		25	35	hit-skill	Battle Orders	1	15	hit-skill	Shout	1	15	hit-skill	Battle Command	1	15	kill-skill	Taunt	5	15	dmg-max		1	100	dmg%		100	100	swing2		40	40																		0
Ironstone	697	0	1			0	1	36	18	p23	War Hammer		5	5000	cblu	cblu						tinkerflag2		25	35	ignore-ac		1	1	dmg%		100	300	str		80	100	strpercent		10	20	balance2		40	50	move2		-10	-10	kill-skill	Stun Proc	100	1																		0
Bonesob	698	0	1			0	1	32	16	p24	Maul		5	5000	lred							tinkerflag2		25	35	dmg%		200	300	crush		40	40	res-fire		75	75	res-cold		75	75	att-skill	Berserk Proc	50	1	freeze		3	3																						0
Steeldriver	699	0	1			0	1	39	20	p25	Great Maul		5	5000	cgrn	cgrn						tinkerflag2		25	35	ease		-100	-100	swing3		40	40	regen-stam		25	25	dmg%		150	250	move2		40	50	att-skill	Axe Mastery Proc	25	20	pierce-ltng		15	20																		0
Rixots Keen	700	0	1			0	1	3	1	p26	Short Sword		5	5000	blac	blac						tinkerflag2		25	35	dmg-norm		10	20	att%		100	100	crush		50	50	ac		100	100	dmg%		100	100	manasteal		5	10	deadly/lvl	4																				0
Blood Crescent	701	0	1			0	1	10	4	p27	Scimitar		5	5000	lblu							tinkerflag2		25	35	dmg-bleed	5	50	100	hp		50	100	deadly		33	33	swing2		20	30	lifesteal		50	50																										0
Krintizs Skewer	702	0	1			0	1	14	7	p28	Saber		5	5000	cblu							tinkerflag2		25	35	ignore-ac		1	1	all-stats		20	30	all-stats-percent		10	20	dmg%		100	150	dmg-norm		10	20	swing2		20	30																						0
Gleamscythe	703	0	1			0	1	18	9	p29	Falchion		5	5000	lred							tinkerflag2		25	35	swing2		100	100	dmg-mag		50	100	hit-skill	Magic Enhanced Axe	25	1	balance2		30	30	move2		30	30	manasteal		5	10	item-skill-cooldown		10	20																		0
Azurewrath_old	704	0		1		0	1	18	9	p30	Crystal Sword		5	5000	lgry							tinkerflag2		25	35	deadly		50	50	mag%		10	10	dmg-cold	100	3	6	dmg%		100	100	dur		25	25	dmg-mag		5	10																						0
Griswolds Edge	705	0	1			0	1	23	11	p31	Broad Sword		5	5000	cred							tinkerflag2		25	35	fire-min		100	200	fire-max		150	300	move2		-20	-30	swing1		-20	-30	knock		1	1	dmg%		100	200	str		80	100	red-dmg%		10	20	red-mag		5	10	res-all		20	30	kill-skill	Fire Surge	100	5		0
Hellplague	706	0	1			0	1	30	15	p32	Long Sword		5	5000	dred							tinkerflag2		25	35	pierce-fire		10	15	pierce-pois		10	15	hit-skill	Poison Dagger	5	10	hit-skill	Crucify Proc	5	10	res-fire		25	50	res-pois		25	50	dmg%		100	200																		0
Culwens Point	707	0	1			0	1	39	20	p33	War Sword		5	5000	whit	whit						tinkerflag2		25	35	allskills		2	2	res-pois-len		50	50	balance2		30	40	swing2		30	40	att		200	300	dmg%		100	150	move2		20	30	dmg-norm		10	20														0
Shadowfang	708	0	1			0	1	16	8	p34	Two-Handed Sword		5	5000	cgrn							tinkerflag2		25	35	manasteal		10	20	res-all-max		2	5	hit-skill	Freezing Claws Proc	10	25	pierce-cold		15	20	dmg%		100	150	lifesteal		10	20	freeze		3	3																		0
Soulflay	709	0	1			0	1	26	13	p35	Claymore		5	5000	dgrn	dgrn						tinkerflag2		25	35	kill-skill	Bone Spirit	25	10	kill-skill	Magic Surge	100	10	aura	Sanctuary	10	15	swing2		20	30	mana-on-striking		1	3	res-mag		10	10	hit-skill	Confuse	5	20																		0
Kinemils Awl	710	0	1			0	1	31	16	p36	Giant Sword		5	5000	dblu							tinkerflag2		25	35	att-skill	Crucify Proc	25	15	str		40	50	move2		25	35	aura	Holy Fire	10	15	pierce-fire		15	20	red-dmg		10	15	red-mag		10	15																		0
Blacktongue	711	0	1			0	1	35	18	p37	Bastard Sword		5	5000	lgrn							tinkerflag2		25	35	att-skill	Poison Surge	100	20	pierce-pois		10	15	swing2		20	30	balance2		30	40	oskill	Stun	1	1	dmg-norm		20	40	res-pois-len		75	75																		0
Ripsaw	712	0	1			0	1	35	18	p38	Flamberge		5	5000	cblu	cblu						tinkerflag2		25	35	oskill	Blade Nova	5	10	deadly/lvl	8			att-skill	Fend	20	10	heal-kill		30	50	dmg%		100	150	dmg-min		20	30																						0
The Patriarch	713	0	1			0	1	39	20	p39	Great Sword		5	5000	cred							tinkerflag2		25	35	aura	Fanaticism	10	15	att-skill	Concentrate Proc	15	20	all-stats		50	50	red-dmg		10	20	red-mag		10	20	res-all		20	40	att-skill	Cobra Strike	15	20	dmg-norm		40	50														0
Gull	714	0	1			0	1	6	4	p40	Dagger		5	5000	lgry	lgry						tinkerflag2		25	35	mag%		100	150	mana		-5	-5	oskill	Find Potion	5	10	gold%		100	150	oskill	Find Item	1	1																										0
The Diggler	715	0	1			0	1	15	7	p41	Dirk		5	5000	dgry	dgry						tinkerflag2		25	35	dex		20	30	dmg%		50	100	swing3		60	80	res-all		30	40	dexpercent		10	20	ignore-ac		1	1	oskill	Dodge	1	1																		0
The Jade Tan Do	716	0	1			0	1	26	13	p42	Kris		5	5000	oran							tinkerflag2		25	35	dmg-pois	256	1000	1000	pierce-pois		10	15	att		200	300	nofreeze		1	1	res-pois		95	95	res-pois-max		5	5	all-stats		10	20																		0
Irices Shard	717	0	1			0	1	34	17	p43	Blade		5	5000	dblu	dblu						tinkerflag2		25	35	cast2		50	50	mana		50	50	res-all		40	50	res-all-max		2	4	regen-mana		100	200	regen		400	500	red-dmg		10	15	red-mag		10	15														0
The Dragon Chang	718	0	1			0	1	11	5	p44	Spear		5	5000	dpur	dpur						tinkerflag2		25	35	hit-skill	Fire Enhanced Axe	20	25	dmg-min		10	20	dmg-max		25	40	swing2		10	20	dmg%		80	120	pierce-fire		15	20																						0
Razortine	719	0	1			0	1	16	8	p45	Trident		5	5000	oran							tinkerflag2		25	35	slow		25	25	reduce-ac		100	100	aura	Thorns	10	20	thorns		100	200	swing2		30	30	thorns/lvl	80																								0
Bloodthief	720	0	1			0	1	23	11	p46	Brandistock		5	5000	whit	whit						tinkerflag2		25	35	crush		35	35	str		40	80	lifesteal		10	20	hp		50	100	dmg%		100	250	sock		1	2																						0
Lance of Yaggai	721	0	1			0	1	30	15	p47	Spetum		5	5000	lred	lred						tinkerflag2		25	35	att-skill	SCharged Strike Proc	50	1	dmg-ltng		1	250	swing2		40	40	move2		30	40	pierce-ltng		15	20	dmg-norm		15	30	regen		200	300																		0
The Tannr Gorerod	722	0	1			0	1	36	18	p48	Pike		5	5000	lgry	lgry						tinkerflag2		25	35	att-skill	Fend	25	20	kill-skill	Corpse Explosion	100	20	swing2		-30	-30	dmg%		250	300	heal-kill		30	50	red-dmg%		20	30	dmg-bleed	50	150	200																		0
Dimoaks Hew	723	0	1			0	1	11	5	p49	Bardiche		5	5000	blac	blac						tinkerflag2		25	35	dex		40	50	dmg%		100	200	swing2		40	50	str		40	50	crush		10	40	sock		1	2																						0
Steelgoad	724	0	1			0	1	19	9	p50	Voulge		5	5000	cgrn	cgrn						tinkerflag2		25	35	deadly		100	100	swing2		50	50	dmg/lvl	8			red-dmg		10	20	move2		20	20																										0
Soul Harvest	725	0	1			0	1	26	13	p51	Scythe		5	5000	dgry							tinkerflag2		25	35	heal-kill		40	80	mana-kill		20	40	crush		50	50	hit-skill	Amplify Damage	3	30	dmg-max		50	100	skill	Bone Armor	5	10	skill	Soul Reaper Mastery	5	10																		0
The Battlebranch	726	0	1			0	1	34	17	p52	Poleaxe		5	5000	lblu	lblu						tinkerflag2		25	35	regen		300	500	all-stats		25	50	res-all		25	50	all-speeds		20	30	dmg%		50	100	allskills		1	1																						0
Woestave	727	0	1			0	1	38	19	p53	Halberd		5	5000	dblu	dblu						tinkerflag2		25	35	slow		50	50	crush		50	50	deadly		50	50	reduce-ac		50	50	freeze		1	1	dmg-norm		30	40	balance2		50	50																		0
The Grim Reaper	728	0	1			0	1	39	20	p54	War Scythe		5	5000	lpur	lpur						tinkerflag2		25	35	kill-skill	Magic Surge	100	20	extra-mag2		10	20	hit-skill	Hells Gate	5	20	gethit-skill	Time Lapse	1	10	crush		20	40	dmg%		50	100																						0
Bane Ash	729	0	1			0	1	7	3	p55	Short Staff		5	5000	lgrn	lgrn						tinkerflag2		25	35	fireskill		1	3	kill-skill	Scorch	100	3	regen-mana		50	100	heal-kill		10	20	res-fire		30	50	cast2		10	20																						0
Serpent Lord	730	0	1			0	1	12	6	p56	Long Staff		5	5000	cgrn	cgrn						tinkerflag2		25	35	dmg-pois	25	2048	3072	oskill	Charge	1	1	manasteal		100	100	pierce-pois		15	20	res-pois		50	50	kill-skill	Poison Surge	100	5																						0
Lazarus Spire	731	0	1			0	1	24	12	p57	Gnarled Staff		5	5000	lgry							tinkerflag2		25	35	skill	Conduit	5	10	skill	Storm Nexus	5	10	mana-kill		20	30	kill-skill	Lightning Surge	100	10	gethit-skill	Time Lapse	1	25	res-ltng-max		5	5	res-ltng		75	75																		0
The Salamander	732	0	1			0	1	28	14	p58	Battle Staff		5	5000	dred	dred						tinkerflag2		25	35	kill-skill	Firestorm	25	5	pierce-fire		10	15	fireskill		1	2	allskills		1	1	cast2		20	40	regen		300	300	res-fire		75	75	res-cold		-20	-20														0
The Iron Jang Bong	733	0	1			0	1	38	19	p59	War Staff		5	5000	dyel	dyel						tinkerflag2		25	35	kill-skill	Wind Surge	3	40	skill	Twister	5	10	extra-wind		10	20	kill-skill	Sandstorm	25	10	red-dmg%		10	20	kill-skill	Warm Up	100	5	dmg-bleed	5	25	50																		0
Pluckeye	734	0	1			0	1	10	4	p60	Short Bow		5	5000	cblu	cblu						tinkerflag2		25	35	hit-skill	Arrow Hit Skill	25	5	dmg-bleed	25	75	100	dmg%		50	150	swing2		20	30	lifesteal		5	10																										0
Witherstring	735	0	1			0	1	18	9	p61	Hunter's Bow		5	5000	lred	lred						tinkerflag2		25	35	hit-skill	Evade	3	20	slow		50	50	swing2		40	50	dmg-ac		-25	-25	dmg-min		20	30	move2		20	20	att		100	200																		0
Rimeraven	736	0	1			0	1	20	10	p62	Long Bow		5	5000	dred	dred						tinkerflag2		25	35	reanimate	4	100	100	skilltab	0	2	3	dmg-fire		100	150	dmg%		100	200	swing2		20	30	heal-kill		10	20	manasteal		3	5																		0
Piercerib	737	0	1			0	1	27	14	p63	Composite Bow		5	5000	cred							tinkerflag2		25	35	pierce		100	100	deadly		40	50	crush		40	50	swing2		50	50	oskill	Multiple Shot	5	10	manasteal		5	10																						0
Pullspite	738	0	1			0	1	34	17	p64	Short Battle Bow		5	5000	lgrn							tinkerflag2		25	35	pierce-ltng		10	15	hit-skill	Lightning Surge	100	3	swing2		30	50	all-stats		20	30	life-on-striking		1	1	att%		100	100																						0
Wizendraw	739	0	1			0	1	35	18	p65	Long Battle Bow		5	5000	dgrn	dgrn						tinkerflag2		25	35	pierce-cold		20	30	ease		200	200	swing2		-10	-20	allskills		2	2	skilltab	0	1	2	pierce		50	50	extra-cold		20	30																		0
Hellclap	740	0	1			0	1	36	18	p66	Short War Bow		5	5000	cgrn							tinkerflag2		25	35	hit-skill	Fire Claws Proc	1	20	kill-skill	Fire Surge	25	20	pierce-fire		15	20	swing2		20	30	res-fire		75	75	dex		40	50	dmg%		100	150	knock		1	1														0
Blastbark	741	0	1			0	1	38	19	p67	Long War Bow		5	5000	lyel	lyel						tinkerflag2		25	35	kill-skill	Berserk Proc	25	5	dmg-mag		150	200	ama		2	3	mana-on-striking		3	5	hit-skill	Teeth	2	15	oskill	Bone Mastery	5	10	move2		20	30	red-dmg%		20	20														0
Leadcrow	742	0	1			0	1	12	6	p68	Light Crossbow		5	5000	dyel							tinkerflag2		25	35	dex		30	40	hp		50	100	dmg%		100	200	deadly		25	50	hit-skill	Multiple Shot	5	10	knock		1	1	oskill	Crossbow Passive	1	1																		0
Ichorsting	743	0	1			0	1	24	12	p69	Crossbow		5	5000	lgld							tinkerflag2		25	35	dmg-bleed	75	150	200	dmg-norm		25	30	dmg%		50	100	att%		50	100	dex		20	40	gethit-skill	Bone Armor	50	1	oskill	Crossbow Passive	1	1																		0
Hellcast	744	0	1			0	1	36	18	p70	Heavy Crossbow		5	5000	dgld							tinkerflag2		25	35	kill-skill	Exploding Arrow	25	20	pierce-fire		10	15	swing2		80	100	dmg%		150	250	hit-skill	Fire Surge	15	15	dex		40	50	oskill	Crossbow Passive	1	1	manasteal		5	8														0
Doomspittle	745	0	1			0	1	38	19	p71	Repeating Crossbow		5	5000	lpur							tinkerflag2		25	35	hit-skill	Rain of Fire	2	15	hit-skill	Orb of Winter	2	15	hit-skill	Storm Nexus	2	15	pierce-res-all		15	20	swing2		40	50	oskill	Elemental Fury	1	5	mana-on-striking		5	10	oskill	Crossbow Passive	1	1														0
War Bonnet	746	0	1			0	1	4	2	2ap	Cap		5	5000	dpur							tinkerflag2		25	35	hp		50	100	mana		50	100	res-all		20	30	move2		10	20	swing2		10	20	cast2		10	20																						0
Tarnhelm	747	0	1			0	1	20	13	2kp	Skull Cap		5	5000	oran	oran						tinkerflag2		25	35	gold%		200	200	mag%		100	100	allskills		1	1	ac		50	50	move2		10	20																										0
Coif of Glory	748	0	1			0	1	19	9	2lm	Helm		5	5000	whit							tinkerflag2		25	35	res-all		10	30	balance2		20	30	heal-kill		15	30	kill-skill	Battle Orders	3	15	kill-skill	Shout	3	15	ac%		50	100																						0
Duskdeep	749	0	1			0	1	23	11	2hl	Full Helm		5	5000	lgry							tinkerflag2		25	35	dmg-cold	75	75	125	ac%		150	150	manasteal		4	8	pierce-cold		10	15	swing2		20	20																										0
Wormskull	750	0	1			0	1	28	14	2h9	Bone Helm		5	5000	lgrn							tinkerflag2		25	35	dmg-bleed	75	75	125	allskills		1	1	hpregen		150	200	res-pois		30	40	res-cold		30	40	dex		20	30	enr		20	30	move2		20	20														0
Howltusk	751	0	1			0	1	34	17	2hm	Great Helm		5	5000	dgry	dgry						tinkerflag2		25	35	hit-skill	Confuse	3	10	hit-skill	Taunt	1	15	gethit-skill	Howl	15	20	ac%		100	150	deadly		10	50	move2		10	20																						0
Undead Crown	752	0	1			0	1	39	20	2rn	Crown		5	5000	blac	blac						tinkerflag2		25	35	skilltab	8	2	2	passive-summ-elemental-resist		10	20	res-all		20	40	nofreeze		1	1	mana		50	100	aura	Might	5	10	ease		100	150																		0
The Face of Horror	753	0	1			0	1	27	14	2sk	Mask		5	5000	lblu	lblu						tinkerflag2		25	35	res-all		30	40	dmg-undead		200	400	dmg-demon		200	400	ac		50	100	mana-on-striking		1	1	lifesteal		10	15																						0
Greyform	754	0	1			0	1	10	4	2ui	Quilted Armor		5	5000	lgry	lgry						tinkerflag2		25	35	red-mag		10	10	res-cold		1	50	res-fire		1	50	res-ltng		1	50	res-pois		1	50	ac		50	100	str		1	75	dex		1	75	vit		1	75	enr		1	75						0
Blinkbats Form	755	0	1			0	1	16	8	2ea	Leather Armor		5	5000	dred	dred						tinkerflag2		25	35	ac-miss		200	200	move2		30	30	ac		75	75	balance2		50	50	gethit-skill	Teleport	25	1	dmg-ltng		1	150	gethit-skill	Lower Resist	50	25																		0
The Centurion	756	0	1			0	1	19	9	2la	Hard Leather		5	5000	cred	cred						tinkerflag2		25	35	ac		50	100	hp		30	60	mana		60	60	stam		100	200	regen		100	100	stamdrain		100	100	stam/lvl	32			move2		20	40														0
Twitchthroe	757	0	1			0	1	22	11	2tu	Studded Leather		5	5000	lgrn	lgrn						tinkerflag2		25	35	swing2		10	30	dex		40	80	block		5	5	ac		50	100	str		40	80	balance2		10	30	all-stats-percent		5	10	block2		10	30														0
Darkglow	758	0	1			0	1	19	9	2ng	Ring Mail		5	5000	dgrn	dgrn						tinkerflag2		25	35	res-all-max		5	5	light		5	10	res-all		40	50	ac%		70	100	allskills		1	1																										0
Hawkmail	759	0	1			0	1	20	10	2cl	Scale Mail		5	5000	cgrn	cgrn						tinkerflag2		25	35	coldskill		2	3	res-cold		50	75	nofreeze		1	1	move2		30	30	oskill	Chilling Armor	10	30																										0
Sparking Mail	760	0	1			0	1	23	11	2hn	Chain Mail		5	5000	lyel	lyel						tinkerflag2		25	35	lightningskill		2	3	res-ltng		50	75	swing2		30	30	att-skill	Conduit Proc	35	20	ac%		1	200	kill-skill	Lightning Surge	3	40																						0
Venomsward	761	0	1			0	1	27	14	2rs	Breast Plate		5	5000	dyel	dyel						tinkerflag2		25	35	poisonskill		2	3	res-pois-max		3	5	res-pois		90	90	balance2		50	50	hp		20	30	mana		20	30	res-pois-len		50	75	mana-kill		5	15														0
Iceblink	762	0	1			0	1	30	15	2pl	Splint Mail		5	5000	lgld	lgld						tinkerflag2		25	35	pierce-cold		10	15	res-cold		75	75	nofreeze		1	1	oskill	Ice Blink	1	10	ac%		50	150	coldskill		1	1																						0
Boneflesh	763	0	1			0	1	35	18	2lt	Plate Mail		5	5000	dgld	dgld						tinkerflag2		25	35	heal-kill		10	40	ac%		100	200	mana-on-striking		1	3	red-mag		10	15	extra-mag2		10	20	kill-skill	Poison Mastery	25	40																						0
Rockfleece	764	0	1			0	1	38	19	2ld	Field Plate		5	5000	dgry	dgry						tinkerflag2		25	35	res-ltng		50	75	ac%		200	300	red-dmg%		20	30	red-dmg		20	30	str		50	100	ease		300	300	strpercent		10	20																		0
Rattlecage	765	0	1			0	1	39	20	2th	Gothic Plate		5	5000	dpur	dpur						tinkerflag2		25	35	att		200	300	crush		25	75	ac		300	400	mag%		40	80	balance2		20	40	reduce-ac		25	75																						0
Goldskin	766	0	1			0	1	38	24	2ul	Full Plate Mail		5	5000	oran							tinkerflag2		25	35	ac%		150	250	res-all		30	50	allskills		1	1	light		10	15	gold%		1	500																										0
Victors Silk	767	0	1			0	1	38	24	2ar	AncientArmor		5	5000	dblu							tinkerflag2		25	35	manasteal		10	20	allskills		2	2	lifesteal		10	20	sock		2	2	all-stats		30	50																										0
Heavenly Garb	768	0	1			0	1	39	20	2tp	Light Plate		5	5000	cblu	cblu						tinkerflag2		25	35	aura	Sanctuary	1	30	res-all		20	40	regen-mana		100	150	regen		400	500	dmg-undead		100	500	dmg-demon		100	500																						0
Pelta Lunata	769	0	1			0	1	3	1	2uc	Buckler		5	5000	whit							tinkerflag2		25	35	ac		100	100	all-stats		20	30	block		3	5	block2		40	40	hp		20	100	mana		20	100																						0
Umbral Disk	770	0	1			0	1	12	6	2ml	Small Shield		5	5000	lgry							tinkerflag2		25	35	gethit-skill	Cloak of Shadows	25	15	dex		30	40	move2		30	30	red-mag		10	15	light		-5	-5	swing2		30	30	cast2		30	30																		0
Stormguild	771	0	1			0	1	18	9	2rg	Large Shield		5	5000	dgry							tinkerflag2		25	35	pierce-ltng		10	15	res-ltng		50	75	ac		75	100	dmg-ltng		1	150	block		5	5	lightningskill		1	1	hit-skill	Lightning Sentry	3	15																		0
Wall of the Eyeless	772	0	1			0	1	27	14	2sh	Bone Shield		5	5000	lgld							tinkerflag2		25	35	mana-kill		20	30	allskills		1	1	cast2		20	30	res-pois		40	50	res-mag		10	20	sock		2	2	gethit-skill	Bone Spirit	50	20																		0
Swordback Hold	773	0	1			0	1	20	10	2pk	Spiked Shield		5	5000	lred							tinkerflag2		25	35	thorns		100	200	thorns/lvl	40			deadly		20	40	hp		80	100	gethit-skill	Axe Proc	100	20																										0
Steelclash	774	0	1			0	1	23	11	2it	Kite Shield		5	5000	blac							tinkerflag2		25	35	pierce-res-all		10	15	pal		1	1	skill	Vengeance	5	10	att%		50	100	ac%		200	300	block		5	5	res-all		20	30																		0
Bverrit Keep	775	0	1			0	1	26	13	2ow	Tower Shield		5	5000	lblu							tinkerflag2		25	35	res-ltng		30	40	res-fire		30	40	str		40	50	vit		40	50	ac		100	150	hp%		10	20	vitpercent		10	20	strpercent		10	20	ac%		100	150										0
The Ward	776	0	1			0	1	35	18	2ts	Gothic Shield		5	5000	dblu							tinkerflag2		25	35	ac		200	200	red-mag		20	30	red-dmg		20	30	block		5	5	ease		200	200	res-all		50	75	sock		2	2																		0
The Hand of Broc	777	0	1			0	1	7	3	2lg	Gloves		5	5000	cblu	cblu						tinkerflag2		25	35	dmg-min		1	25	dmg-max		1	50	str		1	50	hp%		1	30	ac		1	150																										0
Bloodfist	778	0	1			0	1	12	6	2vg	Heavy Gloves		5	5000	oran	oran						tinkerflag2		25	35	kill-skill	Axe Proc	100	20	dmg-bleed	25	80	120	hp		50	50	regen		80	120	swing2		10	20	balance2		10	20	ac		50	80																		0
Chance Guards	779	0	1			0	1	20	13	2mg	Bracers		5	5000	lred	lred						tinkerflag2		25	35	gold%		1	300	mag%		1	200	light		1	10	ac		1	150	deadly		1	50	crush		1	50																						0
Magefist	780	0	1			0	1	31	20	2tg	Light Gauntlets		5	5000	lgry	lgry						tinkerflag2		25	35	cast3		30	30	regen-mana		50	100	allskills		1	1	pierce-res-all		5	15	ac%		50	100																										0
Frostburn	781	0	1			0	1	39	25	2hg	Gauntlets		5	5000	dred	dred						tinkerflag2		25	35	ease		200	200	freeze		1	1	hit-skill	Cold Enhanced Axe	5	10	pierce-cold		20	30	extra-cold		20	30	hit-skill	Frozen Blast	2	15																						0
Hotspur	782	0	1			0	1	7	3	2lb	Leather Boots		5	5000	cred	cred						tinkerflag2		25	35	res-fire-max		5	5	move2		30	40	gethit-skill	Conflagrate	10	1	res-fire		50	50	ac		50	50																										0
Gorefoot	783	0	1			0	1	12	6	2vb	Heavy Boots		5	5000	dblu	dblu						tinkerflag2		25	35	move2		20	30	manasteal		3	5	str		30	40	dmg-bleed	100	100	200	ac		40	50	res-all		20	30																						0
Treads of Cthon	784	0	1			0	1	20	10	2mb	Chain Boots		5	5000	lgrn	lgrn						tinkerflag2		25	35	move2		30	30	nofreeze		1	1	stamdrain		100	100	hp		80	100	mana%		20	30	ac%		80	150	dmg-cold	100	40	80																		0
Goblin Toe	785	0	1			0	1	30	19	2tb	Light Plate Boots		5	5000	dgry	dgry						tinkerflag2		25	35	crush		50	50	mag%		100	100	gold%		100	100	ac		50	100	red-mag		10	30	red-dmg		10	30																						0
Tearhaunch	786	0	1			0	1	39	20	2hb	Plate Boots		5	5000	dgrn	dgrn						tinkerflag2		25	35	aura	Vigor	4	8	all-stats		20	30	move2		20	20	res-all		20	30	stam		150	200																										0
Lenyms Cord	787	0	1			0	1	10	4	3lb	Sash		5	5000	cgrn	cgrn						tinkerflag2		25	35	mana		50	100	hp		50	100	res-all		20	30	light		4	5	regen-mana		50	100	res-mag		10	15	ac/lvl	32																				0
