Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	ladder	noAlwaysSpawn	*eol
Gloves Items Tier 5			1						19c	6	15c	6	25f	6	27f	6	14c	6	13c	6	26f	6	12c	6	16c	6	Gloves Items Tier 4	146						0
Gloves Items Tier 6			1						16c	6	30f	6	29f	6	28f	6	18c	30	17c	6	02j	6	02i	6	20c	6	Gloves Items Tier 5	183						0
Gloves Items Tier 7			1						34f	6	35f	6	32f	6	33f	6	24c	6	31f	6	23c	6	22c	6	21c	6	Gloves Items Tier 6	219						0
Gloves Items Tier 8			1						27c	6	26c	6	29c	6	28c	6	25c	6	36f	6	37f	6	38f	6	39f	6	Gloves Items Tier 7	256						0
Gloves Items Tier 9			1						32c	30	31c	6	34c	6	42f	6	30c	6	43f	6	44f	6	40f	6	41f	6	Gloves Items Tier 8	292						0
Gloves Items Tier 10			1						47f	6	38c	6	39c	6	37c	30	36c	6	35c	6	46f	6	45f	6	33c	6	Gloves Items Tier 9	329						0
Gloves Items Tier 11			1						53f	6	54f	6	55f	6	42c	6	41c	6	40c	6	56f	6	49f	6	48f	6	Gloves Items Tier 10	365						0
Gloves Items Tier 12			1						60f	6	61f	6	43c	6	59f	6	58f	6	57f	6	51f	6	50f	6	52f	6	Gloves Items Tier 11	402						0
Gloves Items Tier 13			1						46c	6	65f	6	64f	6	63f	6	62f	6	03i	6	45c	6	44c	6	66f	6	Gloves Items Tier 12	438						0
Gloves Items Tier 14			1						01d	4	02d	4	03d	4	02g	4	71f	6	70f	6	69f	6	68f	6	67f	6	Gloves Items Tier 13	475						0
Gloves Items Tier 15			1						10d	4	09d	4	08d	4	03g	4	07d	4	06d	4	05d	4	04d	20	01g	4	Gloves Items Tier 14	509						0
Gloves Items Tier 16			1						13d	4	09g	4	07g	4	06g	4	05g	4	04g	4	03j	4	12d	4	11d	20	Gloves Items Tier 15	533						0
Gloves Items Tier 17			1						16g	4	15g	4	14g	4	13g	4	12g	4	11g	4	10g	4	14d	4	08g	4	Gloves Items Tier 16	558						0
Gloves Items Tier 18			1						20g	4	24g	4	16d	4	17d	4	15d	4	18d	4	19g	4	18g	4	17g	4	Gloves Items Tier 17	582						0
Gloves Items Tier 19			1						27g	4	26g	4	21d	4	25g	4	22g	4	23g	4	20d	4	21g	4	19d	20	Gloves Items Tier 18	607						0
Gloves Items Tier 20			1						34g	4	35g	4	36g	4	24d	4	23d	4	28g	4	30g	4	29g	4	22d	4	Gloves Items Tier 19	631						0
Gloves Items Tier 21			1						27d	4	26d	4	43g	4	42g	4	41g	4	33g	4	32g	4	31g	4	37g	4	Gloves Items Tier 20	656						0
Gloves Items Tier 22			1						35d	4	34d	4	33d	4	40g	4	39g	4	38g	4	44g	4	29d	4	28d	4	Gloves Items Tier 21	680						0
Gloves Items Tier 23			1						53g	4	54g	4	55g	4	56g	4	32d	20	31d	4	30d	4	37d	4	36d	4	Gloves Items Tier 22	705						0
Gloves Items Tier 24			1						57g	4	45g	4	46g	4	47g	4	48g	4	49g	4	50g	4	51g	4	52g	4	Gloves Items Tier 23	729						0
Gloves Items Tier 25			1						65g	4	63g	4	62g	4	38d	4	39d	4	61g	4	60g	4	59g	4	58g	4	Gloves Items Tier 24	754						0
Gloves Items Tier 26			1						70g	4	04j	4	05j	4	68g	4	67g	4	40d	4	69g	4	66g	4	64g	4	Gloves Items Tier 25	778						0
Gloves Items Tier 27			1						72g	4	74g	4	43d	4	04i	4	42d	4	41d	20	73g	4	71g	4	44d	4	Gloves Items Tier 26	803						0
Gloves Items Tier 28			1						07i	4	77g	4	48d	4	47d	4	06i	4	05i	4	76g	4	45d	4	75g	4	Gloves Items Tier 27	827						0
Gloves Items Tier 29			1						07j	2	02e	2	02k	2	01e	2	01h	2	06j	2	78g	4	50d	4	49d	4	Gloves Items Tier 28	851						0
Gloves Items Tier 30			1						09h	2	07h	2	06h	2	05e	2	04h	2	05h	2	04e	2	03e	2	03h	2	Gloves Items Tier 29	867						0
Gloves Items Tier 31			1						12k	2	11h	2	13h	2	09e	2	08e	2	07e	2	06e	2	08h	2	10h	2	Gloves Items Tier 30	882						0
Gloves Items Tier 32			1						13e	2	12e	2	15h	2	14h	2	10i	2	09i	2	08i	2	11e	2	10e	2	Gloves Items Tier 31	898						0
Gloves Items Tier 33			1						22k	2	14e	2	21h	2	15e	2	20h	2	17h	2	18h	2	16h	2	21h	2	Gloves Items Tier 32	913						0
Gloves Items Tier 34			1						28h	2	27h	2	26h	2	25h	2	24h	2	16e	2	23h	2	19h	2	Gloves Items Tier 33	928								0
Gloves Items Tier 35			1						33h	2	18e	2	17e	2	08j	2	32k	2	31h	2	30h	2	29h	2	Gloves Items Tier 34	943								0
Gloves Items Tier 36			1						39h	2	21e	2	19e	2	20e	10	37h	2	36h	2	35h	2	34h	2	Gloves Items Tier 35	958								0
Gloves Items Tier 37			1						22e	2	45h	2	42k	2	43h	2	11i	1	38h	2	41h	2	40h	2	Gloves Items Tier 36	972								0
Gloves Items Tier 38			1						48h	2	51h	2	23e	2	25e	2	47h	2	24e	10	46h	2	44h	2	Gloves Items Tier 37	987								0
Gloves Items Tier 39			1						30e	2	09j	2	54h	2	53h	2	27e	2	26e	2	50h	2	49h	2	Gloves Items Tier 38	1002								0
Gloves Items Tier 40			1						33e	2	32e	2	38e	2	12i	2	31e	2	52k	2	28e	10	29e	2	Gloves Items Tier 39	1017								0
Gloves Items Tier 41			1						56h	2	57h	2	58h	2	55h	2	37e	2	36e	2	35e	2	34e	2	Gloves Items Tier 40	1032								0
Gloves Items Tier 42			1						10j	1	62k	2	40e	1	41e	2	39e	1	59h	2	60h	2	61h	2	Gloves Items Tier 41	1047								0
Caster Weapon Items Tier 1			1						05f	30	06f	6	07f	6	08f	6	03f	6	02c	6	02f	6	01f	6	01c	6								0
Caster Weapon Items Tier 2			1						13f	6	05c	6	01j	6	06c	6	09f	6	10f	6	04c	6	03c	6	04f	30	Caster Weapon Items Tier 1	37						0
Caster Weapon Items Tier 3			1						09c	6	08c	6	07c	6	14f	6	15f	6	16f	6	17f	30	11f	6	12f	6	Caster Weapon Items Tier 2	73						0
Caster Weapon Items Tier 4			1						22f	6	23f	6	10c	6	21f	6	20f	6	11c	6	19f	6	01i	6	18f	6	Caster Weapon Items Tier 3	110						0
Caster Weapon Items Tier 5			1						19c	6	15c	6	25f	6	27f	30	14c	6	13c	6	26f	6	12c	6	16c	6	Caster Weapon Items Tier 4	146						0
Caster Weapon Items Tier 6			1						16c	6	30f	6	29f	6	28f	6	18c	6	17c	6	02j	6	02i	6	20c	6	Caster Weapon Items Tier 5	183						0
Caster Weapon Items Tier 7			1						34f	30	35f	6	32f	6	33f	6	24c	6	31f	6	23c	6	22c	6	21c	6	Caster Weapon Items Tier 6	219						0
Caster Weapon Items Tier 8			1						27c	6	26c	6	29c	6	28c	6	25c	6	36f	6	37f	6	38f	6	39f	6	Caster Weapon Items Tier 7	256						0
Caster Weapon Items Tier 9			1						32c	6	31c	6	34c	6	42f	30	30c	6	43f	6	44f	6	40f	6	41f	30	Caster Weapon Items Tier 8	292						0
Caster Weapon Items Tier 10			1						47f	6	38c	6	39c	6	37c	6	36c	6	35c	6	46f	6	45f	6	33c	6	Caster Weapon Items Tier 9	329						0
Caster Weapon Items Tier 11			1						53f	6	54f	6	55f	6	42c	6	41c	6	40c	6	56f	6	49f	6	48f	6	Caster Weapon Items Tier 10	365						0
Caster Weapon Items Tier 12			1						60f	6	61f	6	43c	6	59f	6	58f	6	57f	6	51f	6	50f	6	52f	6	Caster Weapon Items Tier 11	402						0
Caster Weapon Items Tier 13			1						46c	6	65f	30	64f	6	63f	6	62f	6	03i	6	45c	6	44c	6	66f	30	Caster Weapon Items Tier 12	438						0
Caster Weapon Items Tier 14			1						01d	4	02d	4	03d	4	02g	4	71f	6	70f	6	69f	6	68f	6	67f	6	Caster Weapon Items Tier 13	475						0
Caster Weapon Items Tier 15			1						10d	4	09d	4	08d	4	03g	4	07d	4	06d	4	05d	4	04d	4	01g	20	Caster Weapon Items Tier 14	509						0
Caster Weapon Items Tier 16			1						13d	4	09g	4	07g	4	06g	20	05g	4	04g	4	03j	4	12d	4	11d	4	Caster Weapon Items Tier 15	533						0
Caster Weapon Items Tier 17			1						16g	20	15g	4	14g	4	13g	4	12g	4	11g	20	10g	4	14d	4	08g	4	Caster Weapon Items Tier 16	558						0
Caster Weapon Items Tier 18			1						20g	4	24g	4	16d	4	17d	4	15d	4	18d	4	19g	4	18g	20	17g	4	Caster Weapon Items Tier 17	582						0
Caster Weapon Items Tier 19			1						27g	4	26g	4	21d	4	25g	4	22g	4	23g	20	20d	4	21g	4	19d	4	Caster Weapon Items Tier 18	607						0
Caster Weapon Items Tier 20			1						34g	4	35g	4	36g	4	24d	4	23d	4	28g	4	30g	4	29g	4	22d	4	Caster Weapon Items Tier 19	631						0
Caster Weapon Items Tier 21			1						27d	4	26d	4	43g	4	42g	4	41g	20	33g	20	32g	4	31g	4	37g	4	Caster Weapon Items Tier 20	656						0
Caster Weapon Items Tier 22			1						35d	4	34d	4	33d	4	40g	4	39g	4	38g	4	44g	20	29d	4	28d	4	Caster Weapon Items Tier 21	680						0
Caster Weapon Items Tier 23			1						53g	4	54g	4	55g	4	56g	4	32d	4	31d	4	30d	4	37d	4	36d	4	Caster Weapon Items Tier 22	705						0
Caster Weapon Items Tier 24			1						57g	4	45g	4	46g	4	47g	20	48g	4	49g	4	50g	4	51g	4	52g	4	Caster Weapon Items Tier 23	729						0
Caster Weapon Items Tier 25			1						65g	4	63g	4	62g	4	38d	4	39d	4	61g	4	60g	4	59g	4	58g	4	Caster Weapon Items Tier 24	754						0
Caster Weapon Items Tier 26			1						70g	4	04j	4	05j	4	68g	4	67g	4	40d	4	69g	4	66g	4	64g	4	Caster Weapon Items Tier 25	778						0
Caster Weapon Items Tier 27			1						72g	4	74g	4	43d	4	04i	4	42d	4	41d	4	73g	4	71g	4	44d	4	Caster Weapon Items Tier 26	803						0
Caster Weapon Items Tier 28			1						07i	4	77g	4	48d	4	47d	4	06i	4	05i	4	76g	4	45d	4	75g	4	Caster Weapon Items Tier 27	827						0
Caster Weapon Items Tier 29			1						07j	2	02e	2	02k	2	01e	2	01h	2	06j	2	78g	4	50d	4	49d	4	Caster Weapon Items Tier 28	851						0
Caster Weapon Items Tier 30			1						09h	2	07h	2	06h	2	05e	2	04h	2	05h	2	04e	2	03e	2	03h	2	Caster Weapon Items Tier 29	867						0
Caster Weapon Items Tier 31			1						12k	2	11h	2	13h	2	09e	2	08e	2	07e	2	06e	2	08h	2	10h	2	Caster Weapon Items Tier 30	882						0
Caster Weapon Items Tier 32			1						13e	2	12e	2	15h	2	14h	2	10i	2	09i	2	08i	2	11e	2	10e	2	Caster Weapon Items Tier 31	898						0
Caster Weapon Items Tier 33			1						22k	2	14e	2	21h	2	15e	2	20h	2	17h	10	18h	10	16h	2	21h	2	Caster Weapon Items Tier 32	913						0
Caster Weapon Items Tier 34			1						28h	2	27h	2	26h	2	25h	2	24h	2	16e	2	23h	2	19h	2	Caster Weapon Items Tier 33	928								0
Caster Weapon Items Tier 35			1						33h	2	18e	2	17e	2	08j	2	32k	2	31h	2	30h	2	29h	2	Caster Weapon Items Tier 34	943								0
Caster Weapon Items Tier 36			1						39h	2	21e	2	19e	2	20e	2	37h	2	36h	2	35h	2	34h	2	Caster Weapon Items Tier 35	958								0
Caster Weapon Items Tier 37			1						22e	2	45h	10	42k	2	43h	2	11i	1	38h	2	41h	2	40h	2	Caster Weapon Items Tier 36	972								0
Caster Weapon Items Tier 38			1						48h	2	51h	2	23e	2	25e	2	47h	2	24e	2	46h	10	44h	2	Caster Weapon Items Tier 37	987								0
Caster Weapon Items Tier 39			1						30e	2	09j	2	54h	2	53h	2	27e	2	26e	2	50h	2	49h	2	Caster Weapon Items Tier 38	1002								0
Caster Weapon Items Tier 40			1						33e	2	32e	2	38e	2	12i	2	31e	2	52k	10	28e	2	29e	2	Caster Weapon Items Tier 39	1017								0
Caster Weapon Items Tier 41			1						56h	2	57h	2	58h	2	55h	2	37e	2	36e	2	35e	2	34e	2	Caster Weapon Items Tier 40	1032								0
Caster Weapon Items Tier 42			1						10j	1	62k	2	40e	1	41e	2	39e	1	59h	2	60h	2	61h	10	Caster Weapon Items Tier 41	1047								0
Club And Hammer Items Tier 1			1						05f	6	06f	6	07f	30	08f	6	03f	6	02c	6	02f	30	01f	6	01c	6								0
Club And Hammer Items Tier 2			1						13f	6	05c	6	01j	6	06c	6	09f	6	10f	6	04c	6	03c	6	04f	6	Club And Hammer Items Tier 1	37						0
Club And Hammer Items Tier 3			1						09c	6	08c	6	07c	6	14f	6	15f	6	16f	6	17f	6	11f	6	12f	6	Club And Hammer Items Tier 2	73						0
Club And Hammer Items Tier 4			1						22f	6	23f	6	10c	6	21f	6	20f	6	11c	6	19f	6	01i	6	18f	6	Club And Hammer Items Tier 3	110						0
Club And Hammer Items Tier 5			1						19c	6	15c	6	25f	6	27f	6	14c	6	13c	6	26f	6	12c	6	16c	6	Club And Hammer Items Tier 4	146						0
Club And Hammer Items Tier 6			1						16c	6	30f	6	29f	6	28f	6	18c	6	17c	6	02j	6	02i	6	20c	6	Club And Hammer Items Tier 5	183						0
Club And Hammer Items Tier 7			1						34f	6	35f	6	32f	6	33f	6	24c	6	31f	6	23c	6	22c	6	21c	6	Club And Hammer Items Tier 6	219						0
Club And Hammer Items Tier 8			1						27c	6	26c	6	29c	6	28c	6	25c	6	36f	6	37f	6	38f	6	39f	6	Club And Hammer Items Tier 7	256						0
Club And Hammer Items Tier 9			1						32c	6	31c	6	34c	6	42f	6	30c	6	43f	6	44f	6	40f	6	41f	6	Club And Hammer Items Tier 8	292						0
Club And Hammer Items Tier 10			1						47f	6	38c	6	39c	6	37c	6	36c	6	35c	6	46f	6	45f	6	33c	6	Club And Hammer Items Tier 9	329						0
Club And Hammer Items Tier 11			1						53f	6	54f	6	55f	6	42c	6	41c	6	40c	6	56f	6	49f	30	48f	6	Club And Hammer Items Tier 10	365						0
Club And Hammer Items Tier 12			1						60f	30	61f	6	43c	6	59f	6	58f	6	57f	6	51f	6	50f	6	52f	6	Club And Hammer Items Tier 11	402						0
Club And Hammer Items Tier 13			1						46c	6	65f	6	64f	6	63f	6	62f	6	03i	6	45c	6	44c	6	66f	6	Club And Hammer Items Tier 12	438						0
Club And Hammer Items Tier 14			1						01d	4	02d	4	03d	4	02g	4	71f	6	70f	30	69f	6	68f	6	67f	6	Club And Hammer Items Tier 13	475						0
Club And Hammer Items Tier 15			1						10d	4	09d	4	08d	4	03g	4	07d	4	06d	4	05d	4	04d	4	01g	4	Club And Hammer Items Tier 14	509						0
Club And Hammer Items Tier 16			1						13d	4	09g	4	07g	4	06g	4	05g	4	04g	4	03j	4	12d	4	11d	4	Club And Hammer Items Tier 15	533						0
Club And Hammer Items Tier 17			1						16g	4	15g	4	14g	20	13g	4	12g	4	11g	4	10g	4	14d	4	08g	4	Club And Hammer Items Tier 16	558						0
Club And Hammer Items Tier 18			1						20g	4	24g	4	16d	4	17d	4	15d	4	18d	4	19g	4	18g	4	17g	4	Club And Hammer Items Tier 17	582						0
Club And Hammer Items Tier 19			1						27g	4	26g	4	21d	4	25g	4	22g	4	23g	4	20d	4	21g	4	19d	4	Club And Hammer Items Tier 18	607						0
Club And Hammer Items Tier 20			1						34g	4	35g	4	36g	4	24d	4	23d	4	28g	4	30g	4	29g	20	22d	4	Club And Hammer Items Tier 19	631						0
Club And Hammer Items Tier 21			1						27d	4	26d	4	43g	4	42g	4	41g	4	33g	4	32g	4	31g	4	37g	4	Club And Hammer Items Tier 20	656						0
Club And Hammer Items Tier 22			1						35d	4	34d	4	33d	4	40g	4	39g	4	38g	4	44g	4	29d	4	28d	4	Club And Hammer Items Tier 21	680						0
Club And Hammer Items Tier 23			1						53g	4	54g	4	55g	4	56g	4	32d	4	31d	4	30d	4	37d	4	36d	4	Club And Hammer Items Tier 22	705						0
Club And Hammer Items Tier 24			1						57g	4	45g	4	46g	4	47g	4	48g	4	49g	4	50g	4	51g	4	52g	4	Club And Hammer Items Tier 23	729						0
Club And Hammer Items Tier 25			1						65g	4	63g	4	62g	4	38d	4	39d	4	61g	4	60g	20	59g	4	58g	4	Club And Hammer Items Tier 24	754						0
Club And Hammer Items Tier 26			1						70g	4	04j	4	05j	4	68g	4	67g	4	40d	4	69g	20	66g	4	64g	4	Club And Hammer Items Tier 25	778						0
Club And Hammer Items Tier 27			1						72g	4	74g	4	43d	4	04i	4	42d	4	41d	4	73g	4	71g	4	44d	4	Club And Hammer Items Tier 26	803						0
Club And Hammer Items Tier 28			1						07i	4	77g	4	48d	4	47d	4	06i	4	05i	4	76g	4	45d	4	75g	20	Club And Hammer Items Tier 27	827						0
Club And Hammer Items Tier 29			1						07j	2	02e	2	02k	2	01e	2	01h	2	06j	2	78g	4	50d	4	49d	4	Club And Hammer Items Tier 28	851						0
Club And Hammer Items Tier 30			1						09h	10	07h	2	06h	2	05e	2	04h	2	05h	2	04e	2	03e	2	03h	2	Club And Hammer Items Tier 29	867						0
Club And Hammer Items Tier 31			1						12k	2	11h	2	13h	2	09e	2	08e	2	07e	2	06e	2	08h	2	10h	2	Club And Hammer Items Tier 30	882						0
Club And Hammer Items Tier 32			1						13e	2	12e	2	15h	2	14h	2	10i	2	09i	2	08i	2	11e	2	10e	2	Club And Hammer Items Tier 31	898						0
Club And Hammer Items Tier 33			1						22k	2	14e	2	21h	2	15e	2	20h	2	17h	2	18h	2	16h	2	21h	2	Club And Hammer Items Tier 32	913						0
Club And Hammer Items Tier 34			1						28h	2	27h	10	26h	2	25h	10	24h	10	16e	2	23h	2	19h	2	Club And Hammer Items Tier 33	928								0
Club And Hammer Items Tier 35			1						33h	2	18e	2	17e	2	08j	2	32k	2	31h	2	30h	2	29h	10	Club And Hammer Items Tier 34	943								0
Club And Hammer Items Tier 36			1						39h	2	21e	2	19e	2	20e	2	37h	2	36h	2	35h	2	34h	2	Club And Hammer Items Tier 35	958								0
Club And Hammer Items Tier 37			1						22e	2	45h	2	42k	2	43h	2	11i	1	38h	2	41h	2	40h	2	Club And Hammer Items Tier 36	972								0
Club And Hammer Items Tier 38			1						48h	10	51h	2	23e	2	25e	2	47h	2	24e	2	46h	2	44h	2	Club And Hammer Items Tier 37	987								0
Club And Hammer Items Tier 39			1						30e	2	09j	2	54h	2	53h	2	27e	2	26e	2	50h	2	49h	2	Club And Hammer Items Tier 38	1002								0
Club And Hammer Items Tier 40			1						33e	2	32e	2	38e	2	12i	2	31e	2	52k	2	28e	2	29e	2	Club And Hammer Items Tier 39	1017								0
Club And Hammer Items Tier 41			1						56h	2	57h	2	58h	2	55h	10	37e	2	36e	2	35e	2	34e	2	Club And Hammer Items Tier 40	1032								0
Club And Hammer Items Tier 42			1						10j	1	62k	2	40e	1	41e	2	39e	1	59h	2	60h	2	61h	2	Club And Hammer Items Tier 41	1047								0
Polearm And Spear Items Tier 1			1						05f	6	06f	6	07f	6	08f	6	03f	6	02c	6	02f	6	01f	6	01c	6								0
Polearm And Spear Items Tier 2			1						13f	30	05c	6	01j	6	06c	6	09f	6	10f	6	04c	6	03c	6	04f	6	Polearm And Spear Items Tier 1	37						0
Polearm And Spear Items Tier 3			1						09c	6	08c	6	07c	6	14f	6	15f	6	16f	6	17f	6	11f	30	12f	6	Polearm And Spear Items Tier 2	73						0
Polearm And Spear Items Tier 4			1						22f	6	23f	6	10c	6	21f	30	20f	6	11c	6	19f	6	01i	6	18f	6	Polearm And Spear Items Tier 3	110						0
Polearm And Spear Items Tier 5			1						19c	6	15c	6	25f	30	27f	6	14c	6	13c	6	26f	6	12c	6	16c	6	Polearm And Spear Items Tier 4	146						0
Polearm And Spear Items Tier 6			1						16c	6	30f	6	29f	6	28f	6	18c	6	17c	6	02j	6	02i	6	20c	6	Polearm And Spear Items Tier 5	183						0
Polearm And Spear Items Tier 7			1						34f	6	35f	6	32f	30	33f	6	24c	6	31f	6	23c	6	22c	6	21c	6	Polearm And Spear Items Tier 6	219						0
Polearm And Spear Items Tier 8			1						27c	6	26c	6	29c	6	28c	6	25c	6	36f	6	37f	30	38f	6	39f	6	Polearm And Spear Items Tier 7	256						0
Polearm And Spear Items Tier 9			1						32c	6	31c	6	34c	6	42f	6	30c	6	43f	6	44f	6	40f	6	41f	6	Polearm And Spear Items Tier 8	292						0
Polearm And Spear Items Tier 10			1						47f	6	38c	6	39c	6	37c	6	36c	6	35c	6	46f	6	45f	30	33c	6	Polearm And Spear Items Tier 9	329						0
Polearm And Spear Items Tier 11			1						53f	6	54f	6	55f	6	42c	6	41c	6	40c	6	56f	6	49f	6	48f	6	Polearm And Spear Items Tier 10	365						0
Polearm And Spear Items Tier 12			1						60f	6	61f	6	43c	6	59f	6	58f	30	57f	6	51f	6	50f	6	52f	30	Polearm And Spear Items Tier 11	402						0
Polearm And Spear Items Tier 13			1						46c	6	65f	6	64f	30	63f	6	62f	6	03i	6	45c	6	44c	6	66f	6	Polearm And Spear Items Tier 12	438						0
Polearm And Spear Items Tier 14			1						01d	4	02d	4	03d	4	02g	4	71f	6	70f	6	69f	30	68f	6	67f	6	Polearm And Spear Items Tier 13	475						0
Polearm And Spear Items Tier 15			1						10d	4	09d	4	08d	4	03g	4	07d	4	06d	4	05d	4	04d	4	01g	4	Polearm And Spear Items Tier 14	509						0
Polearm And Spear Items Tier 16			1						13d	4	09g	4	07g	4	06g	4	05g	20	04g	4	03j	4	12d	4	11d	4	Polearm And Spear Items Tier 15	533						0
Polearm And Spear Items Tier 17			1						16g	4	15g	4	14g	4	13g	4	12g	4	11g	4	10g	20	14d	4	08g	4	Polearm And Spear Items Tier 16	558						0
Polearm And Spear Items Tier 18			1						20g	4	24g	4	16d	4	17d	4	15d	4	18d	4	19g	4	18g	4	17g	20	Polearm And Spear Items Tier 17	582						0
Polearm And Spear Items Tier 19			1						27g	4	26g	4	21d	4	25g	20	22g	4	23g	4	20d	4	21g	4	19d	4	Polearm And Spear Items Tier 18	607						0
Polearm And Spear Items Tier 20			1						34g	4	35g	4	36g	4	24d	4	23d	4	28g	4	30g	4	29g	4	22d	4	Polearm And Spear Items Tier 19	631						0
Polearm And Spear Items Tier 21			1						27d	4	26d	4	43g	4	42g	4	41g	4	33g	4	32g	4	31g	20	37g	4	Polearm And Spear Items Tier 20	656						0
Polearm And Spear Items Tier 22			1						35d	4	34d	4	33d	4	40g	4	39g	4	38g	20	44g	4	29d	4	28d	4	Polearm And Spear Items Tier 21	680						0
Polearm And Spear Items Tier 23			1						53g	4	54g	4	55g	4	56g	4	32d	4	31d	4	30d	4	37d	4	36d	4	Polearm And Spear Items Tier 22	705						0
Polearm And Spear Items Tier 24			1						57g	4	45g	4	46g	4	47g	4	48g	4	49g	4	50g	20	51g	20	52g	20	Polearm And Spear Items Tier 23	729						0
Polearm And Spear Items Tier 25			1						65g	4	63g	20	62g	4	38d	4	39d	4	61g	4	60g	4	59g	4	58g	20	Polearm And Spear Items Tier 24	754						0
Polearm And Spear Items Tier 26			1						70g	4	04j	4	05j	4	68g	4	67g	4	40d	4	69g	4	66g	4	64g	20	Polearm And Spear Items Tier 25	778						0
Polearm And Spear Items Tier 27			1						72g	4	74g	4	43d	4	04i	4	42d	4	41d	4	73g	4	71g	4	44d	4	Polearm And Spear Items Tier 26	803						0
Polearm And Spear Items Tier 28			1						07i	4	77g	4	48d	4	47d	4	06i	4	05i	4	76g	4	45d	4	75g	4	Polearm And Spear Items Tier 27	827						0
Polearm And Spear Items Tier 29			1						07j	2	02e	2	02k	2	01e	2	01h	2	06j	2	78g	4	50d	4	49d	4	Polearm And Spear Items Tier 28	851						0
Polearm And Spear Items Tier 30			1						09h	2	07h	2	06h	2	05e	2	04h	2	05h	2	04e	2	03e	2	03h	2	Polearm And Spear Items Tier 29	867						0
Polearm And Spear Items Tier 31			1						12k	10	11h	10	13h	2	09e	2	08e	2	07e	2	06e	2	08h	2	10h	2	Polearm And Spear Items Tier 30	882						0
Polearm And Spear Items Tier 32			1						13e	2	12e	2	15h	2	14h	2	10i	2	09i	2	08i	2	11e	2	10e	2	Polearm And Spear Items Tier 31	898						0
Polearm And Spear Items Tier 33			1						22k	2	14e	2	21h	2	15e	2	20h	2	17h	2	18h	2	16h	2	21h	2	Polearm And Spear Items Tier 32	913						0
Polearm And Spear Items Tier 34			1						28h	2	27h	2	26h	2	25h	2	24h	2	16e	2	23h	2	19h	2	Polearm And Spear Items Tier 33	928								0
Polearm And Spear Items Tier 35			1						33h	2	18e	2	17e	2	08j	2	32k	2	31h	10	30h	2	29h	2	Polearm And Spear Items Tier 34	943								0
Polearm And Spear Items Tier 36			1						39h	2	21e	2	19e	2	20e	2	37h	2	36h	10	35h	2	34h	2	Polearm And Spear Items Tier 35	958								0
Polearm And Spear Items Tier 37			1						22e	2	45h	2	42k	2	43h	2	11i	1	38h	2	41h	10	40h	2	Polearm And Spear Items Tier 36	972								0
Polearm And Spear Items Tier 38			1						48h	2	51h	10	23e	2	25e	2	47h	2	24e	2	46h	2	44h	2	Polearm And Spear Items Tier 37	987								0
Polearm And Spear Items Tier 39			1						30e	2	09j	2	54h	2	53h	2	27e	2	26e	2	50h	2	49h	2	Polearm And Spear Items Tier 38	1002								0
Polearm And Spear Items Tier 40			1						33e	2	32e	2	38e	2	12i	2	31e	2	52k	2	28e	2	29e	2	Polearm And Spear Items Tier 39	1017								0
Polearm And Spear Items Tier 41			1						56h	2	57h	2	58h	10	55h	2	37e	2	36e	2	35e	2	34e	2	Polearm And Spear Items Tier 40	1032								0
Polearm And Spear Items Tier 42			1						10j	1	62k	2	40e	1	41e	2	39e	1	59h	10	60h	2	61h	2	Polearm And Spear Items Tier 41	1047								0
Scepter And Mace Items Tier 1			1						05f	6	06f	6	07f	6	08f	30	03f	6	02c	6	02f	6	01f	6	01c	6								0
Scepter And Mace Items Tier 2			1						13f	6	05c	6	01j	6	06c	6	09f	6	10f	6	04c	6	03c	6	04f	6	Scepter And Mace Items Tier 1	37						0
Scepter And Mace Items Tier 3			1						09c	6	08c	6	07c	6	14f	6	15f	6	16f	30	17f	6	11f	6	12f	6	Scepter And Mace Items Tier 2	73						0
Scepter And Mace Items Tier 4			1						22f	6	23f	6	10c	6	21f	6	20f	6	11c	6	19f	6	01i	6	18f	6	Scepter And Mace Items Tier 3	110						0
Scepter And Mace Items Tier 5			1						19c	6	15c	6	25f	6	27f	6	14c	6	13c	6	26f	6	12c	6	16c	6	Scepter And Mace Items Tier 4	146						0
Scepter And Mace Items Tier 6			1						16c	6	30f	6	29f	30	28f	6	18c	6	17c	6	02j	6	02i	6	20c	6	Scepter And Mace Items Tier 5	183						0
Scepter And Mace Items Tier 7			1						34f	6	35f	6	32f	6	33f	30	24c	6	31f	6	23c	6	22c	6	21c	6	Scepter And Mace Items Tier 6	219						0
Scepter And Mace Items Tier 8			1						27c	6	26c	6	29c	6	28c	6	25c	6	36f	6	37f	6	38f	6	39f	6	Scepter And Mace Items Tier 7	256						0
Scepter And Mace Items Tier 9			1						32c	6	31c	6	34c	6	42f	6	30c	6	43f	30	44f	6	40f	6	41f	6	Scepter And Mace Items Tier 8	292						0
Scepter And Mace Items Tier 10			1						47f	30	38c	6	39c	6	37c	6	36c	6	35c	6	46f	6	45f	6	33c	6	Scepter And Mace Items Tier 9	329						0
Scepter And Mace Items Tier 11			1						53f	6	54f	6	55f	6	42c	6	41c	6	40c	6	56f	6	49f	6	48f	6	Scepter And Mace Items Tier 10	365						0
